MonthYear,TotalSales,AverageTemperature,TotalPrecip,LocalUE,Recession,Confidence,TERMCBAUTO48NS,UsedCPI,SandP500,DisposibleIncome,GasPrice,FederalFunds,Covid,GAUsers,GAPageviews,Leads,BOBBDC,NewInventory,UsedInventory,TotalInventory,q2,q3,q4,
16-May,87,63,117,4.2,0,94.7,4.33,146.416,2065.550479,14095.5,2.2682,0.37,0,"5,765","27,700",593,0,52,83,135,1,0,0,
16-Jun,85,77,30,4.8,0,93.5,4.303333333,144.887,2083.891369,14104.9,2.3655,0.38,0,"6,419","28,916",561,0,75,82,157,1,0,0,
16-Jul,92,77,260,5,0,90,4.276666667,143.27,2148.901978,14160.1,2.239,0.39,0,"6,688","31,506",626,0,38,82,120,0,1,0,
16-Aug,117,77,233,5.1,0,89.8,4.25,142.803,2177.482167,14176.7,2.1776,0.4,0,"6,601","32,073",721,0,42,100,142,0,1,0,
16-Sep,93,71,188,4.6,0,91.2,4.316666667,144.851,2157.690964,14209.1,2.2185,0.4,0,"6,852","36,505",742,0,56,77,133,0,1,0,
16-Oct,86,62,79,4.2,0,87.2,4.383333333,142.217,2143.020938,14235.4,2.2494,0.4,0,"5,706","28,922",620,0,69,78,147,0,0,1,
16-Nov,83,50,64,3.9,0,93.8,4.45,139.975,2164.985689,14273.6,2.1815,0.41,0,"6,460","29,910",976,0,70,68,138,0,0,1,
16-Dec,71,33,51,4,0,98.2,4.473333333,139.457,2246.629046,14313.7,2.25425,0.54,0,"6,115","34,166",1333,0,71,68,139,0,0,1,
17-Jan,93,36,84,4.5,0,98.5,4.496666667,138.761,2275.115979,14373.7,2.349,0.65,0,"5,613","28,098",1161,0,56,77,133,0,0,0,
17-Feb,83,46,27,4.4,0,96.3,4.52,138.713,2329.910542,14416.8,2.304,0.66,0,"5,472","28,004",1069,0,83,77,160,0,0,0,
17-Mar,108,47,139,4.1,0,96.9,4.57,139.232,2366.82217,14476.3,2.325,0.79,0,"6,571","32,231",1337,0,97,99,196,0,0,0,
17-Apr,86,60,397,3.7,0,97,4.62,138.596,2359.309455,14509.3,2.41725,0.9,0,"5,250","26,800",1026,0,46,81,127,1,0,0,
17-May,90,66,216,3.7,0,97.1,4.67,138.601,2395.345881,14610.7,2.3914,0.91,0,"5,338","26,244",984,0,46,62,108,1,0,0,
17-Jun,86,76,108,3.8,0,95,4.586666667,137.691,2433.985451,14618.7,2.3465,1.04,0,"5,098","25,204",1140,0,60,77,137,1,0,0,
17-Jul,77,80,101,3.9,0,93.4,4.503333333,136.872,2454.102502,14660.2,2.2998,1.15,0,"5,414","24,602",1422,0,47,67,114,0,1,0,
17-Aug,96,73,104,4,0,96.8,4.42,136.875,2456.22307,14678.3,2.38025,1.16,0,"5,314","25,280",1419,0,33,61,94,0,1,0,
17-Sep,103,71,23,3.4,0,95.1,4.55,135.033,2492.84104,14706,2.64525,1.15,0,"3,876","20,129",1319,0,33,75,108,0,1,0,
17-Oct,109,60,107,3,0,100.7,4.68,137.803,2556.99727,14748.6,2.505,1.15,0,"5,040","25,677",1253,0,29,76,105,0,0,1,
17-Nov,125,46,66,3.3,0,98.5,4.81,138.261,2593.605736,14771.1,2.5635,1.16,0,"5,221","27,840",1382,0,43,106,149,0,0,1,
17-Dec,105,33,24,3.4,0,95.9,4.786666667,138.123,2664.340527,14797.9,2.47675,1.3,0,"6,109","33,044",1361,1,54,77,131,0,0,1,
18-Jan,134,29,55,3.9,0,95.7,4.763333333,138.559,2789.803816,14886.6,2.5546,1.41,0,"5,344","34,307",1548,1,13,143,156,0,0,0,
18-Feb,118,37,163,3.9,0,99.7,4.74,138.643,2705.155248,14921.1,2.58725,1.42,0,"5,490","34,961",1542,1,38,156,194,0,0,0,
18-Mar,186,43,188,3.9,0,101.4,4.843333333,138.212,2702.773821,14974.8,2.59125,1.51,0,"7,893","49,835",1830,1,45,142,187,0,0,0,
18-Apr,160,49,82,3.2,0,98.8,4.946666667,137.876,2653.625209,15007.2,2.757,1.69,0,"7,700","48,700",2020,1,28,159,187,1,0,0,
18-May,190,74,165,3.2,0,98,5.05,138.533,2701.493619,15057.8,2.90075,1.7,0,"11,406","66,304",1983,1,25,202,227,1,0,0,
18-Jun,175,79,143,3.6,0,98.2,5.05,137.952,2754.352888,15119.3,2.89075,1.82,0,"12,570","72,425",2018,1,40,133,173,1,0,0,
18-Jul,180,78,91,3.7,0,97.9,5.05,137.608,2793.643357,15184.7,2.8486,1.91,0,"11,488","73,927",1973,1,51,159,210,0,1,0,
18-Aug,161,77,131,3.5,0,96.2,5.05,138.093,2857.820429,15238.6,2.83575,1.91,0,"9,354","54,862",1957,1,30,129,159,0,1,0,
18-Sep,157,73,103,2.9,0,100.1,5.13,136.92,2901.500514,15237.5,2.8355,1.95,0,"9,056","50,840",1966,1,18,152,170,0,1,0,
18-Oct,171,58,96,2.9,0,98.6,5.21,138.247,2785.46478,15274.1,2.86,2.19,0,"10,079","54,938",2026,1,28,125,153,0,0,1,
18-Nov,144,38,108,3,0,97.5,5.29,139.763,2723.231422,15315.2,2.64725,2.2,0,"9,968","48,636",1980,1,46,155,201,0,0,1,
18-Dec,116,37,157,3.3,0,98.3,5.36,140.18,2567.307386,15506.5,2.3656,2.27,0,"11,535","95,536",1994,1,91,74,165,0,0,1,
19-Jan,148,30,141,4,0,91.2,5.43,140.963,2607.389997,15501.7,2.24775,2.4,0,"13,955","83,667",2061,1,30,171,201,0,0,0,
19-Feb,153,34,146,3.7,0,93.8,5.5,140.242,2754.864206,15553.7,2.30925,2.4,0,"12,757","73,197",1795,1,50,131,181,0,0,0,
19-Mar,162,41,225,3.7,0,98.4,5.45,138.894,2803.983794,15568.9,2.516,2.41,0,"16,317","85,100",2109,1,38,184,222,0,0,0,
19-Apr,194,57,318,2.9,0,97.2,5.4,138.956,2903.799979,15524.4,2.7984,2.42,0,"13,417","75,605",1963,1,40,151,191,1,0,0,
19-May,176,66,309,3,0,100,5.35,138.993,2854.70591,15519.6,2.85925,2.39,0,"13,815","79,937",2048,1,41,205,246,1,0,0,
19-Jun,208,73,255,3.2,0,98.2,5.323333333,139.492,2890.165979,15546.4,2.71575,2.38,0,"12,821","69,601",2193,1,49,170,219,1,0,0,
19-Jul,218,78,195,3.4,0,98.4,5.296666667,139.491,2996.113636,15565.7,2.74,2.4,0,"12,880","70,408",2567,1,42,171,213,0,1,0,
19-Aug,183,75,493,3.3,0,89.8,5.27,140.832,2897.450451,15654.1,2.621,2.13,0,"13,534","80,733",2233,1,56,127,183,0,1,0,
19-Sep,189,75,97,2.7,0,93.2,5.33,140.334,2982.156006,15691.3,2.5922,2.04,0,"11,570","73,162",2428,1,69,148,217,0,1,0,
19-Oct,158,55,223,2.8,0,95.5,5.39,140.217,2977.675197,15718.1,2.627,1.83,0,"13,043","67,648",2182,1,41,198,239,0,0,1,
19-Nov,157,39,204,2.8,0,96.8,5.45,139.348,3104.904492,15778.2,2.59775,1.55,0,"11,611","74,243",3887,1,35,143,178,0,0,1,
19-Dec,168,37,147,2.9,0,99.3,5.396666667,139.413,3176.749512,15684.8,2.555,1.55,0,"12,114","74,079",2636,1,56,109,165,0,0,1,
20-Jan,163,35,274,3.5,0,99.8,5.343333333,138.428,3278.202858,15852.5,2.54775,1.55,1,"14,218","79,248",2365,1,13,187,200,0,0,0,
20-Feb,184,35,161,3.1,0,101,5.29,138.437,3277.314183,15918,2.442,1.58,1,"18,024","96,149",3058,1,22,124,146,0,0,0,
20-Mar,124,48,206,3.8,1,89.1,5.236666667,139.15,2652.393632,15696.3,2.2342,0.65,1,"18,059","92,192",2100,1,44,154,198,0,0,0,
20-Apr,120,53,232,11.7,1,71.8,5.183333333,137.901,2761.975226,18020.2,1.8405,0.05,1,"16,604","91,671",2041,1,14,78,92,1,0,0,
20-May,157,63,244,11.4,0,72.3,5.13,138.528,2919.608484,17104.6,1.8695,0.05,1,"23,111","115,115",2266,1,8,184,192,1,0,0,
20-Jun,216,76,216,10.3,0,78.1,5.08,135.32,3104.660933,17035,2.0822,0.08,1,"20,854","115,174",2700,1,40,164,204,1,0,0,
20-Jul,199,79,306,9.2,0,72.5,5.03,138.039,3207.619096,17193.2,2.18325,0.09,1,"24,268","119,097",2818,1,60,163,223,0,1,0,
20-Aug,187,74,160,7.2,0,74.1,4.98,146.245,3391.710019,16525.8,2.1824,0.1,1,"24,450","113,659",2728,1,57,154,211,0,1,0,
20-Sep,155,67,105,6.2,0,80.4,4.97,154.42,3365.516671,16607.9,2.18275,0.09,1,"28,624","129,971",2484,1,44,160,204,0,1,0,
20-Oct,171,54,135,5.1,0,81.8,4.96,156.354,3418.699996,16561.9,2.158,0.09,1,"26,835","114,519",2353,1,31,87,118,0,0,1,
20-Nov,134,49,204,5,0,76.9,4.95,154.86,3548.99248,16368.1,2.1082,0.09,1,"25,473","101,107",2110,1,28,146,174,0,0,1,
20-Dec,118,36,60,5.4,0,80.7,5.036666667,153.842,3695.310014,16406.1,2.19525,0.09,1,"28,448","130,187",2250,1,48,79,127,0,0,1,
21-Jan,169,33,146,5.7,0,79,5.123333333,152.62,3793.748432,18107.3,2.33425,0.09,1,"29,705","134,911",2213,1,9,125,134,0,0,0,
21-Feb,147,26,92,5.4,0,76.8,5.21,151.331,3883.432116,16604.9,2.501,0.08,1,"27,969","127,749",2103,1,28,115,143,0,0,0,
21-Mar,202,49,252,5.2,0,84.9,5.233333333,152.215,3910.50828,20422.6,2.8104,0.07,1,"24,502","189,709",3040,1,17,186,203,0,0,0,
21-Apr,139,55,172,4.6,0,88.3,5.256666667,166.799,4141.1762,17316.6,2.85825,0.07,1,"17,954","87,164",2342,1,35,147,182,1,0,0,
21-May,191,63,173,4.6,0,82.9,5.28,179.671,4167.849536,16819.1,2.9852,0.06,1,"17,463","89,262",2491,1,28,181,209,1,0,0,
21-Jun,191,76,252,5,0,85.5,5.233333333,196.086,4238.489546,16736.3,3.06375,0.08,1,"17,697","87,813",2780,1,21,154,175,1,0,0,
21-Jul,154,77,351,4.8,0,81.2,5.186666667,195.215,4363.712798,16836.1,3.136,0.1,1,"21,076","79,990",2312,1,30,121,151,0,1,0,
21-Aug,125,78,114,4.6,0,70.3,5.14,192.669,4453.965931,16791.7,3.1578,0.09,1,"15,639","61,556",2122,1,18,129,147,0,1,0,
21-Sep,122,72,205,3.5,0,72.8,4.953333333,191.694,4445.543318,16564.3,3.175,0.08,1,"16,615","62,585",2226,1,15,140,155,0,1,0,
21-Oct,107,61,232,3.3,0,71.7,4.766666667,197.651,4460.707078,16547.4,3.2905,0.08,1,"18,533","66,970",2023,1,20,89,109,0,0,1,
21-Nov,109,44,30,3,0,67.4,4.58,204.01,4667.386649,16499.8,3.3948,0.08,1,"17,095","71,256",2112,1,20,124,144,0,0,1,
21-Dec,107,44,153,3,0,70.6,4.676666667,211.882,4674.772772,16418.5,3.3065,0.08,1,"17,557","74,723",1846,1,16,101,117,0,0,1,
22-Jan,98,27,54,3.7,0,67.2,4.773333333,214.914,4573.815454,16080.8,3.3146,0.08,1,"19,562","74,582",2180,1,18,152,170,0,0,0,
22-Feb,99,32,177,3.2,0,62.8,4.87,213.702,4435.980494,16092.7,3.51725,0.08,1,"19,024","72,606",1786,1,11,84,95,0,0,0,
22-Mar,111,47,244,3.1,0,59.4,4.963333333,206.036,4391.265264,16028.1,4.22175,0.2,1,"16,551","66,988",1978,1,20,110,130,0,0,0,
22-Apr,126,54,177,2.4,0,65.2,5.056666667,204.632,4391.295996,16042.6,4.1085,0.33,1,"19,129","70,905",2203,1,12,88,100,1,0,0,
22-May,145,67,282,2.6,0,58.4,5.15,208.447,4040.360003,16023.2,4.4436,0.77,1,"20,380","78,055",2226,0,23,140,163,1,0,0,
22-Jun,136,77,87,2.6,0,50,5.273333333,209.54,3898.946684,15963.4,4.929,1.21,1,"20,521","77,289",2146,0,21,154,175,1,0,0,
22-Jul,129,79,384,2.9,0,51.5,5.396666667,207.815,3911.729492,16109.3,4.55925,1.68,1,"22,456","88,707",2121,0,27,120,147,0,1,0,
22-Aug,142,76,159,3,0,58.2,5.52,207.436,4158.563084,16161.4,3.975,2.33,1,"19,995","82,393",2214,0,36,123,159,0,1,0,
22-Sep,143,68,121,2.3,0,58.6,5.993333333,205.156,3850.520496,16184.9,3.70025,2.56,1,"19,726","83,112",2313,0,24,115,139,0,1,0,
22-Oct,135,55,125,2.5,0,59.9,6.466666667,201.645,3726.050956,16223.5,3.8152,3.08,1,"21,918","87,251",2323,0,37,103,140,0,0,1,
22-Nov,104,45,99,2.5,0,56.7,6.94,197.633,3917.488595,16229.6,3.685,3.78,1,"20,690","81,902",2442,0,34,97,131,0,0,1,
22-Dec,121,35,107,2.4,0,59.8,7.113333333,193.691,3912.380952,16265.1,3.21,4.1,1,"21,678","90,730",2294,0,34,90,124,0,0,1,
23-Jan,135,38,175,3,0,64.9,7.286666667,189.941,3960.656531,16601.9,3.3392,4.33,1,"22,947","94,384",2325,0,20,120,140,0,0,0,
23-Feb,124,41,91,2.8,0,66.9,7.46,184.678,4079.684725,16656.1,3.38875,4.57,1,"23,251","104,305",2355,0,24,130,154,0,0,0,
23-Mar,136,44,236,2.8,0,62,7.503333333,183.06,3968.559146,16730.2,3.422,4.65,1,"24,344","103,604",2692,0,28,142,170,0,0,0,
23-Apr,139,57,87,2.7,0,63.7,7.546666667,191.199,4121.467362,16770.5,3.603,4.83,1,"22,509","90,373",2303,0,28,152,180,1,0,0,
23-May,147,67,176,3,0,59,7.59,199.646,4146.173196,16829.7,3.5548,5.06,1,"21,889","92,238",2504,0,27,159,186,1,0,0,
23-Jun,140,74,134,3.5,0,64.2,7.826666667,198.746,4345.372838,16823.2,3.571,5.08,1,"24,216","95,331",2470,0,29,104,133,1,0,0,
23-Jul,142,78,196,3.6,0,71.5,8.063333333,196.086,4508.075488,16783.7,3.597,5.12,1,"25,648","108,029",4957,0,39,133,172,0,1,0,
23-Aug,149,76,298,3.7,0,69.4,8.3,193.671,4452.224726,16764.6,3.83975,5.33,1,"25,631","108,947",2682,0,53,128,181,0,1,0,
