Date,NewSales,UsedSales,TotalSales,AverageTemperature,TotalRainfall,TotalSnowfall,TotalPrecip,US-Unemployment ,STL-Unemployment,UsedCPI,Recession,Confidence,Income,GasPrice,FFR,CovidOrLater,InternetLeads,GAUsers,GAPageviews,Me,MyBDC,NewInventory,UsedInventory,TotalInventory,q1,q2,q3,q4
17-Aug,56,40,96,73,104,0,104,4.4,4,136.875,0,96.8,14678.3,2.38025,1.16,0,1419,5314,25280,0,0,33,61,94,0,0,1,0
17-Sep,47,56,103,71,23,0,23,4.3,3.4,135.033,0,95.1,14706,2.64525,1.15,0,1319,3876,20129,0,0,33,75,108,0,0,1,0
17-Oct,49,60,109,60,107,0,107,4.2,3,137.803,0,100.7,14748.6,2.505,1.15,0,1253,5040,25677,0,0,29,76,105,0,0,0,1
17-Nov,54,71,125,46,66,0,66,4.2,3.3,138.261,0,98.5,14771.1,2.5635,1.16,0,1382,5221,27840,0,0,43,106,149,0,0,0,1
17-Dec,35,70,105,33,15,9,24,4.1,3.4,138.123,0,95.9,14797.9,2.47675,1.3,0,1361,6109,33044,1,1,54,77,131,0,0,0,1
18-Jan,36,98,134,29,31,24,55,4,3.9,138.559,0,95.7,14886.6,2.5546,1.41,0,1548,5344,34307,1,1,13,143,156,1,0,0,0
18-Feb,21,97,118,37,137,26,163,4.1,3.9,138.643,0,99.7,14921.1,2.58725,1.42,0,1542,5490,34961,1,1,38,156,194,1,0,0,0
18-Mar,65,121,186,43,188,0,188,4,3.9,138.212,0,101.4,14974.8,2.59125,1.51,0,1830,7893,49835,1,1,45,142,187,1,0,0,0
18-Apr,39,121,160,49,72,10,82,4,3.2,137.876,0,98.8,15007.2,2.757,1.69,0,2020,7700,48700,1,1,28,159,187,0,1,0,0
18-May,47,143,190,74,165,0,165,3.8,3.2,138.533,0,98,15057.8,2.90075,1.7,0,1983,11406,66304,1,1,25,202,227,0,1,0,0
18-Jun,36,139,175,79,143,0,143,4,3.6,137.952,0,98.2,15119.3,2.89075,1.82,0,2018,12570,72425,1,1,40,133,173,0,1,0,0
18-Jul,48,132,180,78,91,0,91,3.8,3.7,137.608,0,97.9,15184.7,2.8486,1.91,0,1973,11488,73927,1,1,51,159,210,0,0,1,0
18-Aug,44,117,161,77,131,0,131,3.8,3.5,138.093,0,96.2,15238.6,2.83575,1.91,0,1957,9354,54862,1,1,30,129,159,0,0,1,0
18-Sep,38,119,157,73,103,0,103,3.7,2.9,136.92,0,100.1,15237.5,2.8355,1.95,0,1966,9056,50840,1,1,18,152,170,0,0,1,0
18-Oct,53,118,171,58,96,0,96,3.8,2.9,138.247,0,98.6,15274.1,2.86,2.19,0,2026,10079,54938,1,1,28,125,153,0,0,0,1
18-Nov,35,109,144,38,93,15,108,3.8,3,139.763,0,97.5,15315.2,2.64725,2.2,0,1980,9968,48636,1,1,46,155,201,0,0,0,1
18-Dec,29,87,116,37,151,6,157,3.9,3.3,140.18,0,98.3,15506.5,2.3656,2.27,0,1994,11535,95536,1,1,91,74,165,0,0,0,1
19-Jan,23,125,148,30,101,40,141,4,4,140.963,0,91.2,15501.7,2.24775,2.4,0,2061,13955,83667,1,1,30,171,201,1,0,0,0
19-Feb,22,131,153,34,125,21,146,3.8,3.7,140.242,0,93.8,15553.7,2.30925,2.4,0,1795,12757,73197,1,1,50,131,181,1,0,0,0
19-Mar,40,122,162,41,215,10,225,3.8,3.7,138.894,0,98.4,15568.9,2.516,2.41,0,2109,16317,85100,1,1,38,184,222,1,0,0,0
19-Apr,40,154,194,57,318,0,318,3.6,2.9,138.956,0,97.2,15524.4,2.7984,2.42,0,1963,13417,75605,1,1,40,151,191,0,1,0,0
19-May,35,141,176,66,309,0,309,3.7,3,138.993,0,100,15519.6,2.85925,2.39,0,2048,13815,79937,1,1,41,205,246,0,1,0,0
19-Jun,53,155,208,73,255,0,255,3.6,3.2,139.492,0,98.2,15546.4,2.71575,2.38,0,2193,12821,69601,1,1,49,170,219,0,1,0,0
19-Jul,51,167,218,78,195,0,195,3.7,3.4,139.491,0,98.4,15565.7,2.74,2.4,0,2567,12880,70408,1,1,42,171,213,0,0,1,0
19-Aug,49,134,183,75,493,0,493,3.7,3.3,140.832,0,89.8,15654.1,2.621,2.13,0,2233,13534,80733,1,1,56,127,183,0,0,1,0
19-Sep,36,153,189,75,97,0,97,3.5,2.7,140.334,0,93.2,15691.3,2.5922,2.04,0,2428,11570,73162,1,1,69,148,217,0,0,1,0
19-Oct,26,132,158,55,222,1,223,3.6,2.8,140.217,0,95.5,15718.1,2.627,1.83,0,2182,13043,67648,1,1,41,198,239,0,0,0,1
19-Nov,41,116,157,39,191,13,204,3.6,2.8,139.348,0,96.8,15778.2,2.59775,1.55,0,3887,11611,74243,1,1,35,143,178,0,0,0,1
19-Dec,58,110,168,37,106,41,147,3.6,2.9,139.413,0,99.3,15684.8,2.555,1.55,0,2636,12114,74079,1,1,56,109,165,0,0,0,1
20-Jan,36,127,163,35,232,42,274,3.5,3.5,138.428,0,99.8,15852.5,2.54775,1.55,1,2365,14218,79248,1,1,13,187,200,1,0,0,0
20-Feb,26,158,184,35,134,27,161,3.5,3.1,138.437,0,101,15918,2.442,1.58,1,3058,18024,96149,1,1,22,124,146,1,0,0,0
20-Mar,31,93,124,48,205,1,206,4.4,3.8,139.15,1,89.1,15696.3,2.2342,0.65,1,2100,18059,92192,1,1,44,154,198,1,0,0,0
20-Apr,30,90,120,53,232,0,232,14.7,11.7,137.901,1,71.8,18020.2,1.8405,0.05,1,2041,16604,91671,1,1,14,78,92,0,1,0,0
20-May,29,128,157,63,244,0,244,13.2,11.4,138.528,0,72.3,17104.6,1.8695,0.05,1,2266,23111,115115,1,1,8,184,192,0,1,0,0
20-Jun,31,185,216,76,216,0,216,11,10.3,135.32,0,78.1,17035,2.0822,0.08,1,2700,20854,115174,1,1,40,164,204,0,1,0,0
20-Jul,34,165,199,79,306,0,306,10.2,9.2,138.039,0,72.5,17193.2,2.18325,0.09,1,2818,24268,119097,1,1,60,163,223,0,0,1,0
20-Aug,38,149,187,74,160,0,160,8.4,7.2,146.245,0,74.1,16525.8,2.1824,0.1,1,2728,24450,113659,1,1,57,154,211,0,0,1,0
20-Sep,45,110,155,67,105,0,105,7.9,6.2,154.42,0,80.4,16607.9,2.18275,0.09,1,2484,28624,129971,1,1,44,160,204,0,0,1,0
20-Oct,26,145,171,54,135,0,135,6.9,5.1,156.354,0,81.8,16561.9,2.158,0.09,1,2353,26835,114519,1,1,31,87,118,0,0,0,1
20-Nov,44,90,134,49,203,1,204,6.7,5,154.86,0,76.9,16368.1,2.1082,0.09,1,2110,25473,101107,1,1,28,146,174,0,0,0,1
20-Dec,34,84,118,36,52,8,60,6.7,5.4,153.842,0,80.7,16406.1,2.19525,0.09,1,2250,28448,130187,1,1,48,79,127,0,0,0,1
21-Jan,42,127,169,33,98,48,146,6.3,5.7,152.62,0,79,18107.3,2.33425,0.09,1,2213,29705,134911,1,1,9,125,134,1,0,0,0
21-Feb,37,110,147,26,71,21,92,6.2,5.4,151.331,0,76.8,16604.9,2.501,0.08,1,2103,27969,127749,1,1,28,115,143,1,0,0,0
21-Mar,32,170,202,49,252,0,252,6.1,5.2,152.215,0,84.9,20422.6,2.8104,0.07,1,3040,24502,189709,1,1,17,186,203,1,0,0,0
21-Apr,28,111,139,55,171,1,172,6.1,4.6,166.799,0,88.3,17316.6,2.85825,0.07,1,2342,17954,87164,1,1,35,147,182,0,1,0,0
21-May,40,151,191,63,173,0,173,5.8,4.6,179.671,0,82.9,16819.1,2.9852,0.06,1,2491,17463,89262,1,1,28,181,209,0,1,0,0
21-Jun,29,162,191,76,252,0,252,5.9,5,196.086,0,85.5,16736.3,3.06375,0.08,1,2780,17697,87813,1,1,21,154,175,0,1,0,0
21-Jul,24,130,154,77,351,0,351,5.4,4.8,195.215,0,81.2,16836.1,3.136,0.1,1,2312,21076,79990,1,1,30,121,151,0,0,1,0
21-Aug,23,102,125,78,114,0,114,5.2,4.6,192.669,0,70.3,16791.7,3.1578,0.09,1,2122,15639,61556,1,1,18,129,147,0,0,1,0
21-Sep,21,101,122,72,205,0,205,4.8,3.5,191.694,0,72.8,16564.3,3.175,0.08,1,2226,16615,62585,1,1,15,140,155,0,0,1,0
21-Oct,8,99,107,61,232,0,232,4.5,3.3,197.651,0,71.7,16547.4,3.2905,0.08,1,2023,18533,66970,1,1,20,89,109,0,0,0,1
21-Nov,26,83,109,44,30,0,30,4.2,3,204.01,0,67.4,16499.8,3.3948,0.08,1,2112,17095,71256,1,1,20,124,144,0,0,0,1
21-Dec,13,94,107,44,152,1,153,3.9,3,211.882,0,70.6,16418.5,3.3065,0.08,1,1846,17557,74723,1,1,16,101,117,0,0,0,1
22-Jan,17,81,98,27,44,10,54,4,3.7,214.914,0,67.2,16080.8,3.3146,0.08,1,2180,19562,74582,1,1,18,152,170,1,0,0,0
22-Feb,18,81,99,32,125,52,177,3.8,3.2,213.702,0,62.8,16092.7,3.51725,0.08,1,1786,19024,72606,1,1,11,84,95,1,0,0,0
22-Mar,20,91,111,47,241,3,244,3.6,3.1,206.036,0,59.4,16028.1,4.22175,0.2,1,1978,16551,66988,1,1,20,110,130,1,0,0,0
22-Apr,22,104,126,54,177,0,177,3.6,2.4,204.632,0,65.2,16042.6,4.1085,0.33,1,2203,19129,70905,1,1,12,88,100,0,1,0,0
22-May,19,126,145,67,282,0,282,3.6,2.6,208.447,0,58.4,16023.2,4.4436,0.77,1,2226,20380,78055,1,0,23,140,163,0,1,0,0
22-Jun,24,112,136,77,87,0,87,3.6,2.6,209.54,0,50,15963.4,4.929,1.21,1,2146,20521,77289,1,0,21,154,175,0,1,0,0
22-Jul,28,101,129,79,384,0,384,3.5,2.9,207.815,0,51.5,16109.3,4.55925,1.68,1,2121,22456,88707,1,0,27,120,147,0,0,1,0
22-Aug,28,114,142,76,159,0,159,3.7,3,207.436,0,58.2,16161.4,3.975,2.33,1,2214,19995,82393,1,0,36,123,159,0,0,1,0
22-Sep,29,114,143,68,121,0,121,3.5,2.3,205.156,0,58.6,16184.9,3.70025,2.56,1,2313,19726,83112,1,0,24,115,139,0,0,1,0
22-Oct,33,102,135,55,125,0,125,3.7,2.5,201.645,0,59.9,16223.5,3.8152,3.08,1,2323,21918,87251,1,0,37,103,140,0,0,0,1
22-Nov,23,81,104,45,92,7,99,3.6,2.5,197.633,0,56.7,16229.6,3.685,3.78,1,2442,20690,81902,1,0,34,97,131,0,0,0,1
22-Dec,34,87,121,35,103,4,107,3.5,2.4,193.691,0,59.8,16265.1,3.21,4.1,1,2294,21678,90730,1,0,34,90,124,0,0,0,1
23-Jan,25,110,135,38,168,7,175,3.4,3,189.941,0,64.9,16601.9,3.3392,4.33,1,2325,22947,94384,1,0,20,120,140,1,0,0,0
23-Feb,30,94,124,41,75,16,91,3.6,2.8,184.678,0,66.9,16656.1,3.38875,4.57,1,2355,23251,104305,1,0,24,130,154,1,0,0,0
23-Mar,27,109,136,44,236,0,236,3.5,2.8,183.06,0,62,16730.2,3.422,4.65,1,2692,24344,103604,1,0,28,142,170,1,0,0,0
23-Apr,35,104,139,57,87,0,87,3.4,2.7,191.199,0,63.7,16770.5,3.603,4.83,1,2303,22509,90373,1,0,28,152,180,0,1,0,0
23-May,30,117,147,67,176,0,176,3.7,3,199.646,0,59,16829.7,3.5548,5.06,1,2504,21889,92238,1,0,27,159,186,0,1,0,0
23-Jun,17,123,140,74,134,0,134,3.6,3.5,198.746,0,64.2,16823.2,3.571,5.08,1,2470,24216,95331,1,0,29,104,133,0,1,0,0
23-Jul,34,108,142,78,196,0,196,3.5,3.6,196.086,0,71.5,16783.7,3.597,5.12,1,4957,25648,108029,1,0,39,133,172,0,0,1,0
23-Aug,41,108,149,76,298,0,298,3.8,3.7,193.671,0,69.4,16764.6,3.83975,5.33,1,2682,25631,108947,1,0,53,128,181,0,0,1,0
23-Sep,36,91,127,70,68,0,68,3.8,3.1,188.772,0,67.9,16751.4,3.836,5.33,1,2371,27022,108824,1,0,41,94,135,0,0,1,0
