area,price
3162,447300
3510,447300
3750,444500
3968,441000
4900,441000
2880,440300
4880,440300
4920,440300
4950,438200
3900,437500
4500,434000
1905,434000
4075,434000
3500,434000
6450,434000
4032,431900
4400,430500
10360,430500
3400,427700
6360,427000
6360,427000
4500,427000
2175,427000
4360,427000
7770,427000
6650,423500
2787,423500
5500,420000
5040,420000
5850,420000
2610,420000
2953,420000
2747,420000
4410,420000
4000,420000
2325,420000
4600,420000
3640,420000
5800,420000
7000,420000
4079,420000
3520,420000
2145,420000
4500,420000
8250,419300
3450,419300
4840,416500
4080,416500
4046,416500
4632,413000
5985,413000
6060,412300
3600,409850
3680,409500
4040,409500
5600,409500
5900,406000
4992,406000
4340,406000
3000,406000
4320,406000
3630,402500
3460,402500
5400,402500
4500,400750
3460,400750
4100,399000
6480,399000
4500,399000
3960,399000
4050,399000
7260,392000
5500,392000
3000,392000
3290,392000
3816,392000
8080,392000
2145,392000
3780,388500
3180,388500
5300,385000
3180,385000
7152,385000
4080,385000
3850,385000
2015,385000
2176,385000
3350,383600
3150,381500
4820,378000
3420,378000
3600,378000
5830,378000
2856,378000
8400,378000
8250,377300
2520,377300
6930,377300
3480,374500
3600,371000
4040,371000
6020,371000
4050,371000
3584,371000
3120,370300
5450,370300
3630,367500
3630,367500
5640,367500
3600,367500
4280,364000
3570,364000
3180,364000
3000,364000
3520,364000
5960,364000
4130,364000
2850,364000
2275,364000
3520,363300
4500,360500
4000,360500
3150,357000
4500,357000
4500,357000
3640,357000
3850,353500
4240,350000
3650,350000
4600,350000
2135,350000
3036,350000
3990,350000
7424,350000
3480,350000
3600,350000
3640,350000
5900,350000
3120,350000
7350,350000
3512,350000
9500,350000
5880,350000
12944,350000
4900,349300
3060,346500
5320,346500
2145,346500
4000,343000
3185,343000
3850,343000
2145,343000
2610,343000
1950,343000
4040,342300
4785,339500
3450,339500
3640,339500
3500,336000
4960,336000
4120,336000
4750,336000
3720,336000
3750,336000
3100,336000
3185,336000
2700,335300
2145,333200
4040,332500
4775,332500
2500,329000
3180,329000
6060,329000
3480,329000
3792,329000
4040,329000
2145,329000
5880,329000
4500,325500
3930,325500
3640,323400
4370,322000
2684,322000
4320,322000
3120,322000
3450,315000
3986,315000
3500,315000
4095,315000
1650,315000
3450,315000
6750,315000
9000,315000
3069,315000
4500,314300
5495,312900
2398,311885
3000,311500
3850,311500
3500,311500
8100,308700
4960,308000
2160,308000
3090,308000
4500,308000
3800,304500
3090,301000
3240,301000
2835,301000
4600,301000
5076,301000
3750,301000
3630,301000
8050,300300
4352,297500
3000,296100
5850,294000
4960,294000
3600,294000
3660,294000
3480,294000
2700,294000
3150,294000
6615,294000
3040,287000
3630,287000
6000,287000
5400,287000
5200,285250
3300,283500
4350,283500
2640,283500
2650,280000
3960,280000
6800,273000
4000,273000
4000,269500
3934,266000
2000,266000
3630,266000
2800,266000
2430,266000
3480,266000
4000,266000
3185,265300
4000,265300
2910,260400
3600,259000
4400,259000
3600,259000
2880,252000
3180,252000
3000,252000
4400,248500
3000,248500
3210,245000
3240,245000
3000,245000
3500,245000
4840,245000
7700,245000
3635,240800
2475,238000
2787,238000
3264,238000
3640,234500
3180,231000
1836,227500
3970,227500
3970,227500
1950,224000
5300,223300
3000,213500
2400,210000
3000,210000
3360,210000
3420,196000
1700,189000
3649,189000
2990,185500
3000,182000
2400,176715
3620,175000
2910,175000
3850,175000
