Total Gross Profit,Back Gross Profit,Front Gross Profit,Buyer Postal Code,Inventory Type,Make,Model,Color
1268.86,1049.47,50.39,62650,U,Chevrolet,Silverado 1500,MAROON
5054,1145,3740,62040,U,Chevrolet,Silverado 1500,BLACK
4418.13,3722.36,526.77,620242123,U,GMC,Acadia,SILVER
3516.48,392.5,2954.98,631195505,U,Chevrolet,Malibu,BLUE
3624.84,68.79,3387.05,620251326,U,Hyundai,Santa Fe,GRAY
3523.6,504,2850.6,622711131,U,Ford,F-150,BROWN
3606.59,2282.55,1155.04,62230,U,Ford,F-150,BLACK
-148.48,300,-617.48,63017,U,Jeep,Compass,WHITE
3811.73,842.28,2800.45,62040,U,GMC,Terrain,RED
7857.39,3390,4298.39,62040,U,Chevrolet,Silverado 1500,SILVER
2187.99,1432.3,586.69,62095,U,Chevrolet,Equinox,
860,920.31,-229.31,622812101,U,Chevrolet,Equinox,WHITE
1058.85,1421.25,-531.4,622213181,U,Dodge,Challenger,ORANGE
3258.11,1524.69,1564.42,633772468,U,GMC,Yukon,SILVER
100,0,100,620626456,U,Jeep,Grand Cherokee,TAN
4067.36,2679.97,1218.39,620028864,U,Chevrolet,Suburban,WHITE
3088.35,300,2619.35,622694100,U,Chevrolet,Camaro,RED
142.3,291.78,-318.48,620404200,N,Chevrolet,Silverado 1500 LD,RED
-4160.25,100,-4260.25,62024,N,Chevrolet,Trax,WHITE
7138.64,2235.04,4734.6,620022020,U,GMC,Canyon,GRAY
62.68,133.73,-240.05,622942051,U,Chevrolet,Malibu,RED
6228.65,2346.96,3712.69,620255360,U,Chevrolet,Silverado 1500,BLACK
4654.2,1003.81,3481.39,620884248,U,Chevrolet,Silverado 1500,BLUE
6016.99,2160,4387.99,626509464,U,Nissan,Altima,GREY
1362.34,201,992.34,620626474,U,Honda,Accord,BLACK
4730.5,646.9,3914.6,631112361,U,Ford,Taurus,RED
3308.89,811.18,2328.71,631254663,U,Toyota,Highlander,BLUE
2790.93,150,2471.93,620953336,U,Kia,Sorento,WHITE
4000.65,881.36,2950.29,620254909,U,Chevrolet,Impala,GRAY
3653.71,1904.26,1580.45,620021961,U,Chevrolet,Cruze,BLUE
3853.96,2742.36,942.6,620181352,U,Dodge,Charger,BLUE
4514.02,1988.09,2356.93,62035,U,GMC,Terrain,MAROON
3821.08,104.32,3547.76,622942159,U,Dodge,Dakota,RED
4821.45,3174.18,1478.27,626261740,U,Chevrolet,Traverse,RED
8996.36,2296.91,6530.45,620352805,U,Chevrolet,Equinox,SILVER
402.26,0,233.26,62097,U,Chevrolet,Malibu,GRAY
-369.21,479.38,-1017.59,620342404,U,Chevrolet,Traverse,WHITE
7324.36,2060.76,5094.6,620251013,U,Ford,F-150,RED
4135.68,817.95,3148.73,620021832,U,Ford,Fusion,WHITE
3118.12,0,2949.12,633036352,U,Ford,Ranger,WHITE
3221.41,0,3052.41,626509464,U,Chevrolet,Cruze,BLACK
14.63,201,-355.37,620141043,U,Chevrolet,Trax,SILVER
3011.48,0,2842.48,631391541,U,Chevrolet,Traverse,BLACK
2792.94,63.63,2560.31,620841120,U,Chevrolet,Malibu,RED
3142.95,1138.09,1835.86,633036017,U,Chevrolet,Equinox,BLACK
4275.84,1063.08,3043.76,622342009,U,Chevrolet,Tahoe,WHITE
4864.01,1064.25,3630.76,620522410,U,Dodge,Durango,SILVER
3104.46,1796.34,1139.12,620353646,U,Buick,Encore,BLUE
2570.52,1082.09,1319.43,620241606,U,Chevrolet,Impala,WHITE
2686.88,1447.76,1070.12,622261823,U,Chevrolet,Equinox,BLUE
496.11,636.05,-308.94,620404200,N,Chevrolet,Silverado 1500 LD,WHITE
1973.23,2294.43,-490.2,620671045,N,Chevrolet,Trax,SILVER
4494.4,2186,2139.4,620102183,N,Chevrolet,Equinox,WHITE
1751.75,1923.85,-341.1,620521517,N,Chevrolet,Colorado,BLACK
6168.03,3612.08,2386.95,620022019,U,Chevrolet,Trax,GRAY
4623.4,1604.8,2849.6,636309662,U,Ford,Edge,BLUE
1301.56,1208.16,-75.6,622342316,N,Chevrolet,Silverado 1500,BLACK
3442.29,2027.72,1245.57,62027,U,GMC,Terrain,SILVER
2017.99,848.56,1000.43,620102247,U,Chevrolet,Traverse,GRAY
4586.49,2427.97,1989.52,620121815,U,GMC,Sierra 1500,WHITE
910.79,868.28,-126.49,620241947,U,Chevrolet,Equinox,GREY
6798.59,2408,4221.59,622584934,U,GMC,Yukon,BLACK
2108.33,902.94,1036.39,631223249,U,Chevrolet,Suburban,SILVER
4542.79,2748.84,1624.95,620161170,U,Chevrolet,Equinox,RED
3612.34,2106.39,1336.95,620101890,U,Chevrolet,Equinox,BLU
7040.74,2550.64,4321.1,622217115,U,GMC,Yukon XL 1500,BLACK
4227.66,0,4058.66,63121,U,Cadillac,SRX,SILVER
4594.06,3588.66,836.4,622401542,U,GMC,Terrain,WHITE
4675.51,2562.54,1943.97,620526243,U,Nissan,Sentra,SILVER
3863.43,767,2927.43,620951110,U,Chevrolet,Impala,SILVER
8777.22,1646.83,6961.39,628064428,U,Chevrolet,Suburban,BLACK
4107.89,1544.19,2394.7,62610,U,GMC,Acadia,RED
2806.71,963.71,1674,620353404,U,Chevrolet,Cruze Limited,BLUE
4856.99,2293.29,2394.7,620882522,U,GMC,Acadia,SILVER
3972.06,2262.8,1540.26,620101158,U,Chevrolet,Malibu,GREY
1992.67,668.24,1155.43,622213559,U,Chevrolet,Impala,SILVER
541.23,1360.76,-988.53,633595002,U,Chevrolet,Equinox,WHITE
3613.24,919.29,2524.95,622343753,U,Chevrolet,Trax,GRAY
4500.03,1968.85,2362.18,62014,U,Chevrolet,Traverse,BLUE
3432.83,1396.4,1867.43,382375840,U,Chevrolet,Traverse,WHITE
3665.31,730.76,2765.55,622691161,U,Chevrolet,Equinox,WHITE
3950.6,1052,2729.6,620102193,U,Dodge,Dart,BLACK
2248.88,2753.36,-673.48,620405542,N,Chevrolet,Spark,SILVER
6107.41,0,5938.41,622493960,U,Chevrolet,Trax,GRAY
2437.22,3067.32,-799.1,620025441,N,Chevrolet,Traverse,GRAY
-347.5,201,-717.5,655843782,N,Chevrolet,Silverado 1500,BLACK
-472.04,0,-641.04,620353365,N,Chevrolet,Spark,WHITE
2570.23,501,1900.23,62035,N,Chevrolet,Colorado,WHITE
149.68,1606.91,-1626.23,620341025,N,Chevrolet,Silverado 1500 LD,SILVER
527.64,0,358.64,620142851,U,Chevrolet,Equinox,GRAY
1772.2,2504.76,-901.56,620402441,N,Chevrolet,Silverado 1500,WHITE
2.23,0,-166.77,620122400,N,Chevrolet,Colorado,RED
3919,0,3750,62269,U,Cadillac,XTS,WHITE
677.5,201,307.5,622343612,N,Chevrolet,Silverado 1500,RED
7804.45,1700,6405.45,620402847,U,Chevrolet,Equinox,WHITE
3287.09,998.23,2119.86,620211732,U,GMC,Yukon,BLACK
286.57,909.85,-792.28,622943631,U,Chevrolet,Traverse,SILVER
3088.82,0,2919.82,620871813,U,Ford,Explorer,RED
7327.11,2063.51,5094.6,620251013,U,Ford,F-150,RED
2828.3,2338.87,320.43,620027819,U,Chevrolet,Express 3500,WHITE
4937.04,1999.65,2768.39,620102548,U,Chevrolet,Silverado 1500,WHITE
4415.03,946.18,3299.85,620671581,U,Dodge,Durango,WHITE
2978.23,1109.51,1699.72,622753804,U,Chevrolet,Malibu,GRAY
4711.64,2142.64,2400,622311537,U,Chevrolet,Colorado,SILVER
4193.13,1251,2773.13,620241606,U,Chevrolet,Cruze,BLACK
2598.6,2639.91,-210.31,622031612,U,Chevrolet,Equinox,SILVER
4765.81,160.65,4436.16,620023118,U,GMC,Acadia,BLACK
984.92,1483.37,-667.45,622495407,U,Buick,LaCrosse,GREY
3147.5,518.42,2460.08,620022257,U,RAM,1500,WHITE
-17.93,307.95,-494.88,620625705,U,Nissan,Rogue Sport,BLACK
3759.95,2049.77,1541.18,631283114,U,Cadillac,XT5,GREY
5231.82,1607.6,3455.22,626859426,U,Chevrolet,Malibu,SILVER
3319.67,1275.67,1875,620351737,U,Chevrolet,Equinox,WHITE
4249.67,168.25,3912.42,620880151,U,Dodge,Challenger,WHITE
2953.34,316.91,2467.43,620404270,U,Chevrolet,Traverse,GRAY
3622.07,0,3602.07,624711516,U,Ford,Focus,SILVER
5509.11,3028.46,2311.65,620141433,U,Chevrolet,Traverse,WHITE
3322.13,651.01,2502.12,630175520,U,Cadillac,ATS,GRAY
583.65,341.75,72.9,620951344,N,Chevrolet,Traverse,BLACK
1413.44,0,1244.44,620123902,U,Chevrolet,Silverado 1500,RED
2897.19,150,2578.19,622493930,U,Chevrolet,Cruze,WHITE
5795.75,3679.8,1946.95,620022943,U,Chevrolet,Equinox,RED
-789,0,-958,620692447,U,Chevrolet,Equinox,WHITE
4243.45,1084.69,2989.76,620241332,U,Jeep,Compass,BLACK
4103.72,603.88,3330.84,622081012,U,Chevrolet,Silverado 2500HD,BLACK
2856.26,774.65,2236.61,620951531,U,Chevrolet,Colorado,BLACK
2604.93,3101.13,-665.2,620951110,N,Chevrolet,Trax,BLACK
5779.42,1842.03,3768.39,620181212,U,Chevrolet,Silverado 1500,BLACK
2446.65,540.95,1736.7,622942145,U,Dodge,Grand Caravan,WHITE
3333.39,994.77,2169.62,62471,U,GMC,Terrain,BLACK
3845.09,1591.56,2084.53,620953273,U,Chevrolet,Silverado 1500,WHITE
3569.1,0,3400.1,622697147,U,Cadillac,Escalade,WHITE
5749.72,3450.53,2130.19,620101715,U,Cadillac,XT5,GREY
1898.5,1723.38,6.12,620863329,U,GMC,Acadia,WHITE
2831.86,295.86,2367,620952135,U,Chevrolet,Equinox,SILVER
3134,0,2965,620242153,U,Chevrolet,Colorado,RED
4301.96,2733.51,1399.45,620101569,U,Chevrolet,Cruze,BROWN
2416.47,58.2,2189.27,620454405,U,Honda,CR-V,BEIGE
1604.84,1403.4,32.44,620351042,U,Chevrolet,Malibu,SILVER
2445.45,995.68,1280.77,620332124,U,Chevrolet,Equinox,BLACK
5815.12,656,4990.12,620023123,U,Mitsubishi,Outlander,BLUE
5990.85,1534.9,4286.95,631292663,U,Chevrolet,Malibu,BLUE
6282.7,1197,4916.7,620633008,U,Chevrolet,Silverado 2500HD,WHITE
6687.2,980,5896.2,620352111,U,GMC,Terrain,WHITE
85.95,0,-83.05,637017004,U,Chevrolet,Malibu,SILVER
4838.25,1125,4489.6,620404146,U,GMC,Acadia,WHITE
3318.52,0,3149.52,622983074,U,Chevrolet,Impala,SILVER
5740.55,3106.33,2465.22,620026623,U,Chevrolet,Malibu,BLUE
2004.65,785.53,1050.12,622344453,U,Ford,EcoSport,BLUE
3614.86,1486.25,1959.61,620101719,U,Ford,Fusion,RED
8226.01,1364.82,6692.19,620025852,U,Chevrolet,Silverado 1500,RED
4539.83,2217.83,2153,620255115,U,Chevrolet,Cruze,SILVER
9328.64,2236.25,6923.39,656164199,U,Chevrolet,Silverado 1500,BROWN
7726.76,2004.03,5553.73,620241257,U,Chevrolet,Silverado 1500,MAROON
4171.67,3690.28,312.39,631341452,U,Chevrolet,Trax,BLUE
4564.89,0,4395.89,620024465,U,GMC,Acadia,RED
2020.19,201,1650.19,620255700,U,Chevrolet,Volt,RED
1094.95,0,925.95,526259151,U,Chevrolet,Equinox,WHITE
-226.44,724.42,-1119.86,62035,N,Chevrolet,Silverado 1500,WHITE
3694.59,1441.62,2083.97,620255254,U,Chevrolet,Equinox,WHITE
3238.78,2799.8,269.98,624714052,U,Chevrolet,Malibu,BEIGE
3223.85,1364.4,1690.45,631152211,U,Chevrolet,Camaro,BLUE
4860.79,1161.09,3874.7,620181559,U,Cadillac,CTS,BLACK
6717.2,1197,5351.2,620025221,U,GMC,Acadia,BLACK
2520.5,150,2201.5,622203169,U,Dodge,Journey,BLACK
2091.53,980.58,941.95,620102575,U,Chevrolet,Cruze,BROWN
1688.15,698.14,821.01,620877156,U,Chevrolet,Cruze,SILVER
4311.6,382,3760.6,620601435,U,Ford,Flex,GRAY
1311.55,0,1142.55,620871636,U,Chrysler,Town & Country,BLK
2414.68,150,2095.68,620024311,U,Chevrolet,Trax,BLUE
2381.7,1692.31,520.39,636289364,U,Chevrolet,Camaro,RED
1502.28,0,1333.28,624014361,U,Chevrolet,Equinox,SILVER
4077.76,1459.16,2449.6,620351251,U,Ford,Explorer,RED
2281.6,0,2112.6,622696851,U,Chevrolet,Equinox,WHITE
4392.82,2731.29,1492.53,620011801,U,Chevrolet,Equinox,WHITE
4540.74,1139.94,3231.8,620091234,U,Chevrolet,Silverado 1500,SILVER
2501.35,417.79,1914.56,638579122,U,GMC,Sierra 1500,BLACK
4558.66,3402.23,987.43,620241830,U,Chevrolet,Equinox,SILVER
807.65,760.35,-121.7,620402838,U,Chevrolet,Equinox,BLUE
1914,279.73,1465.27,620101142,U,Chevrolet,Equinox,GREY
2586.12,1159,1258.12,620252379,U,Kia,Sportage,WHITE
1191.78,500,522.78,630844474,U,Chevrolet,Equinox,ORANGE
6395.15,2884.76,3341.39,620952334,U,Kia,Optima,WHITE
2158.43,2060.31,-70.88,622693026,U,Buick,Verano,BLUE
5361.08,0,5192.08,620522549,U,Nissan,Altima,RED
2582.01,411,2002.01,631112212,U,Chevrolet,Equinox,SILVER
2250.31,201,1782.31,622491185,U,Chevrolet,Equinox,GRAY
1215.58,1162.58,-116,62047,N,Chevrolet,Equinox,BLACK
3800.42,4678.84,-1047.42,620952449,N,Chevrolet,Equinox,BLUE
4601.84,6004.5,-1571.66,620352018,N,Chevrolet,Silverado 1500,BLACK
4177.8,1501,2507.8,620101744,N,Chevrolet,Equinox,WHITE
2276.82,2935.92,-828.1,620522354,N,Chevrolet,Traverse,SILVER
234.5,0,65.5,620241763,N,Chevrolet,Equinox,BLUE
3518.85,0,3349.85,622215811,U,Chevrolet,Malibu,GREY
3531.59,1368.84,1993.75,620142525,N,Chevrolet,Silverado 2500HD,GRAY
1523.3,0,1354.3,622692962,U,Buick,Lucerne,SILVER
2503.7,300,2034.7,620022255,U,Buick,Enclave,MAROON
4740.02,1095.25,3280.77,62205,U,Chevrolet,Equinox,GREY
4623.64,2759.86,1694.78,620022833,U,RAM,1500 Classic,GRAY
4127.12,1565.78,2392.34,620352320,U,GMC,Sierra 1500,WHITE
3400.85,1400.52,1831.33,620751141,U,Chevrolet,Malibu,GREY
2139.95,391.83,1579.12,620341302,U,GMC,Acadia,WHITE
649.4,267.97,212.43,615659583,U,Chevrolet,Express 3500,WHITE
6802.36,1300,5333.36,627034253,U,Chevrolet,Camaro,YELLOW
2030.88,0,1861.88,631163912,U,Hyundai,Elantra,GRAY
3389.41,2287.09,933.32,620022122,U,Chevrolet,Malibu,BLU
2210.47,1472.1,569.37,620522815,U,Kia,Optima,SILVER
3675.88,472.43,3034.45,620404328,U,Chevrolet,Traverse,SILVER
2774.81,2352.26,253.55,620242122,N,Chevrolet,Equinox,BLUE
3198.6,0,3029.6,62067,N,Chevrolet,Silverado 3500HD,WHITE
2359.2,1273.25,916.95,620952029,U,Chevrolet,Trax,BLACK
3032.3,3039.4,-176.1,620027316,N,Chevrolet,Silverado 1500,SILVER
5170.51,2432.38,2569.13,622621108,U,Chevrolet,Colorado,GREY
2613.27,2161.48,282.79,620841324,U,Chevrolet,Malibu,BROWN
6556.03,1682.03,4705,620952121,U,GMC,Terrain,BLACK
1329.22,0,1160.22,620121722,U,Chevrolet,Malibu,WHITE
3731.49,1875.04,1687.45,626262192,U,Chevrolet,Equinox,BLUE
2803.73,1269.75,1364.98,620841211,U,Dodge,Journey,GRAY
2003.95,2476.45,-641.5,620951537,N,Chevrolet,Silverado 1500,BLACK
3822.39,0,3653.39,624713912,U,Chevrolet,Silverado 1500,GRAY
2634.63,0,2465.63,620255123,U,Chevrolet,Silverado 1500,GRAY
-1417.76,160,-1746.76,620954056,N,Chevrolet,Silverado 1500 LD,RED
3403.54,0,3234.54,622203505,U,Nissan,Versa Note,BLUE
2984.42,0,2815.42,622652601,U,Ford,Focus,WHITE
2319.44,0,2150.44,630265908,U,GMC,Acadia,GREY
4833.26,0,4664.26,622341534,U,Chevrolet,Traverse,GRAY
1518.58,1684.06,-334.48,620871831,N,Chevrolet,Equinox,WHITE
5230.93,0,5061.93,620026627,U,Chevrolet,Equinox,SILVER
3816.16,0,3647.16,630191105,U,GMC,Terrain,WHITE
2402.79,0,4476.28,620952118,U,Nissan,Altima,GRAY
8116,0,7947,620871757,U,Kia,Forte,SILVER
4518.7,0,4349.7,59417,U,GMC,Acadia,WHITE
3914.45,0,3745.45,622213006,U,Chevrolet,Cruze,SILVER
-2254.34,0,-2423.34,553305108,N,Chevrolet,Corvette,BLACK
-957.01,398.12,-1524.13,620353757,N,Chevrolet,Silverado 1500,GRAY
2340.4,0,2171.4,620256302,U,Chevrolet,Cruze,WHITE
3558.13,3919.63,-530.5,62040,N,Chevrolet,Equinox,BLUE
1636.01,0,1467.01,384784307,U,Nissan,Versa,SILVER
1709.23,1679.83,-139.6,62048,U,Chevrolet,Cruze,RED
1729.98,201,1359.98,620751623,U,Chevrolet,Cruze,GRAY
-865.98,0,-1034.98,620671743,N,Chevrolet,Spark,WHITE
3869.77,2458,1242.77,620241809,U,Chevrolet,Equinox,SILVER
5173.36,3282.41,1721.95,620022855,U,Chevrolet,Sonic,RED
1217.95,0,1048.95,620022979,U,Chevrolet,Trax,BLACK
2149.62,0,1980.62,631383556,U,Dodge,Stratus,BLACK
2291.5,0,2122.5,620953208,U,Chevrolet,Equinox,SILVER
-1253.79,269.54,-1692.33,620223226,U,Chevrolet,Camaro,
5003.09,2286.94,2547.15,620123839,U,Ford,F-250,WHITE
-6002.73,0,-6171.73,620101605,U,Cadillac,XTS,SILVER
99.72,974.33,-1043.61,62035,N,Chevrolet,Equinox,RED
1956.58,640.98,1146.6,620142409,N,Chevrolet,Traverse,WHITE
3821.45,150,3502.45,620123814,U,Chevrolet,Trax,BLUE
1457.45,0,1288.45,622347519,U,Mercury,Tracer,SILVER
887.49,423.54,294.95,630434217,U,Chevrolet,Equinox,WHITE
2936.87,969.84,1798.03,620253111,U,Chevrolet,Corvette Stingray,RED
-1745.31,0,-1914.31,624491607,U,Dodge,Charger,GRAY
-275.85,868.48,-1313.33,620341148,N,Chevrolet,Equinox,RED
4964.34,2333.16,2462.18,620091556,U,Chevrolet,Silverado 1500,BLUE
1617.37,1735.95,-287.58,622941735,U,Buick,Regal,MAROON
1124.56,0,955.56,62010,U,Dodge,Grand Caravan,SILVER
3621.22,147.55,3304.67,620561207,U,Pontiac,Grand Prix,RED
6343.91,3943.23,2231.68,620142128,U,Chevrolet,Cruze,BLACK
3661.97,2240.2,1252.77,622261855,U,Chevrolet,Equinox,RED
4425.36,1951.71,2304.65,62035,U,Volkswagen,CC,BLACK
5774.57,1332.3,3531.27,620461023,U,Chevrolet,Equinox,WHITE
2170,0,2001,620024773,U,Cadillac,Escalade,GRAY
5470,556,4745,620952434,U,Chevrolet,Colorado,RED
355.95,1389.83,-1202.88,625589655,U,GMC,Acadia,SILVER
3920.81,2277.11,1474.7,62063,U,Dodge,Grand Caravan,RED
1594.86,1447.12,-21.26,622463203,U,Chevrolet,Equinox,GREY
3251,584.89,2497.11,633046720,U,Nissan,Juke,BLUE
3918.97,2073.01,1676.96,622321523,U,GMC,Acadia,BLACK
3027.4,1579.45,1278.95,620352108,U,Chevrolet,Cruze,BLACK
1268.46,0,1099.46,622342303,U,Kia,Sorento,GREY
2690.15,201,2320.15,620241516,U,Chevrolet,Impala,BLUE
4078.62,0,3909.62,620027530,U,Toyota,Corolla,SILVER
3926.47,3263.16,494.31,620101737,U,Chevrolet,Silverado 1500,WHITE
1611.58,170.13,1272.45,620352343,U,Chevrolet,Cruze,GREY
4082.64,0,3913.64,620871564,U,Nissan,Versa,BLACK
1639.15,698.65,771.5,622344880,U,Chevrolet,Cruze,BLUE
6187.23,3975.53,2042.7,620403901,U,Buick,Enclave,BLACK
2056.73,0,1887.73,631353007,U,Chevrolet,Malibu,SILVER
5880.83,3335.56,2376.27,620871530,U,Chevrolet,Equinox,SILVER
4535.17,1080.97,3285.2,620123626,U,Jeep,Grand Cherokee,BLACK
3007.99,1680.04,1158.95,620241667,U,Chevrolet,Cruze,WHITE
5607.58,3299.15,2139.43,620101163,U,Chevrolet,Traverse,RED
1535.27,0,1366.27,622941017,U,Chevrolet,Equinox,RED
-203.9,600,-972.9,622492022,N,Chevrolet,Blazer,BLUE
3796.34,3671,-43.66,620633016,N,Chevrolet,Blazer,WHITE
4471.42,2295.56,2006.86,622213468,N,Chevrolet,Equinox,WHITE
-796.1,0,-965.1,620211508,N,Chevrolet,Equinox,RED
3922.95,1710.7,2043.25,620871629,U,Chevrolet,Traverse,SILVER
2419.14,1208.78,1041.36,627031866,U,Chevrolet,Equinox,BLACK
3795.85,2846.71,780.14,620952444,U,Chevrolet,Equinox,BLACK
1117.48,491,457.48,620023037,U,Chevrolet,Trax,BLACK
131.43,0,-37.57,633033133,U,Chevrolet,Silverado 1500,RED
4138.43,1931.86,2037.57,620741831,U,Toyota,Camry,SILVER
2388.07,1098,1121.07,633761463,U,Infiniti,QX80,BLACK
4950.95,0,4781.95,620022758,U,Chevrolet,Cruze,BLACK
1936.77,901,866.77,628854010,U,Chevrolet,Equinox,WHITE
7461.26,1719.83,5572.43,620952206,U,Chevrolet,Camaro,SILVER
1679.36,542.93,967.43,620025521,U,Chevrolet,Colorado,GREEN
7779.3,3582.32,4027.98,620022112,U,Chevrolet,Trax,BLUE
5872.57,0,5703.57,620474401,U,Toyota,RAV4,BLUE
4131.07,1834.21,2127.86,633861449,U,Chevrolet,Silverado 1500,SILVER
3780.96,2663.93,948.03,620953319,U,Chevrolet,Colorado,WHITE
2279.61,111.56,1999.05,620331528,U,GMC,Sierra 1500,TAN
1686.88,0,1517.88,63125,U,Chevrolet,Silverado 1500,WHITE
3536.5,791.75,2575.75,620952206,U,GMC,Acadia,GRAY
4122.65,1387,2566.65,620283051,U,Chrysler,Town & Country,RED
4262.52,448.39,3469.12,626261161,U,Buick,Verano,WHITE
4426.42,0,4257.42,620351877,U,GMC,Sierra 1500,RED
7358.34,2230.22,4959.12,620027149,U,GMC,Terrain,WHITE
2363.02,100,2094.02,620972232,U,Chevrolet,Cruze,WHITE
6127.46,0,5958.46,620026548,U,Hyundai,Sonata,GRAY
3221.19,1512.9,1539.29,620023562,U,Chevrolet,Cruze Limited,SILVER
4140.32,1475.2,2496.12,631251610,U,Chevrolet,Silverado 3500HD,WHITE
2072.49,1612.48,291.01,620101124,U,Chevrolet,Equinox,SILVER
1918.54,0,1749.54,622941714,U,Toyota,Camry,SILVER
5502.07,3460.16,1872.91,620251462,U,Buick,Encore,WHITE
4933.57,2231.14,2533.43,627116169,U,Chevrolet,Camaro,RED
5011.58,1600.18,3242.4,620024310,U,Chevrolet,Impala Limited,GRAY
781.53,400,212.53,622581152,U,Chevrolet,Impala,SILVER
2485.84,0,2316.84,629598332,U,Dodge,Dakota,WHITE
2539.31,0,2370.31,622346975,U,Jeep,Patriot,GRAY
6294.09,975.45,5149.64,62234,U,Chevrolet,Equinox,TAN
5221.16,2707.38,2344.78,622212606,U,Dodge,Challenger,GREY
-253.83,0,-422.83,676719310,U,Chrysler,Pacifica,WHITE
2348.89,0,2179.89,620121736,U,Chevrolet,Malibu,WHITE
5502.43,2042.87,3290.56,622194309,U,Cadillac,Escalade ESV,WHITE
7041.53,0,6872.53,630338525,U,Chevrolet,Impala Limited,SILVER
-539.18,300,-1008.18,620242063,N,Chevrolet,Spark,CREME
2279.58,2476.28,-365.7,620022917,N,Chevrolet,Equinox,BLUE
1390.75,2276.45,-1054.7,620023005,N,Chevrolet,Equinox,ORANGE
3724.24,3842.28,-287.04,620240012,N,Chevrolet,Blazer,RED
-211.43,463,-843.43,620625804,N,Chevrolet,Traverse,WHITE
-797.6,0,-966.6,622344721,N,Chevrolet,Silverado 1500,RED
3537.33,3558.21,-189.88,620871660,N,Chevrolet,Malibu,SILVER
-393.41,289.79,-852.2,622582834,N,Chevrolet,Equinox,BLUE
1262.84,2002.34,-908.5,620026077,N,Chevrolet,Equinox,BLACK
3414.12,2487.6,757.52,620023175,N,Chevrolet,Sonic,BLUE
1367.93,337.5,861.43,630231302,U,Chevrolet,Camaro,RED
