time_till_back_in_prison,drinking_prolem_yes,drug_history_yes,supervised_release_yes,married_when_jailed_yes,felony_sentence_yes,prison_work_program_yes,property_crime_yes,crime_against_person_yes,prior_convictions,years_of_education,rule_violations_in_prison,age_in_months,time_served_in_months
14,0,0,0,0,0,1,0,0,1,11,0,342,5
81,0,0,1,0,0,1,0,0,3,6,0,582,7
46,0,0,1,1,1,1,1,0,8,11,3,377,20
80,0,0,1,1,0,1,0,0,1,11,0,298,7
76,0,0,0,0,1,0,1,0,9,12,3,601,118
75,0,0,0,0,0,0,0,0,0,9,7,295,18
30,1,0,1,0,0,0,0,0,0,9,0,233,16
25,0,0,0,0,0,0,0,0,0,8,4,242,15
70,0,1,0,0,0,0,0,0,0,10,0,255,15
80,0,0,0,0,1,0,1,0,3,9,8,276,41
79,0,0,0,0,0,1,0,0,2,9,2,438,12
15,0,0,0,0,1,0,1,0,1,10,8,265,26
8,0,0,1,0,0,1,0,0,1,10,4,247,33
73,1,0,0,0,0,1,0,0,9,5,0,373,5
72,1,0,1,0,0,1,0,0,8,11,0,516,6
70,0,0,1,0,0,0,0,0,3,10,2,274,7
74,0,1,1,0,1,0,0,0,2,10,6,292,25
77,1,0,1,1,0,0,0,0,0,11,0,283,3
81,0,1,1,1,0,1,0,0,1,9,0,454,5
41,0,0,1,1,0,1,0,0,3,8,0,394,41
70,0,1,1,0,0,1,0,0,0,11,2,248,14
8,0,0,0,0,0,0,0,0,0,9,0,205,3
71,0,0,0,0,0,0,0,0,0,9,0,220,3
39,0,1,0,0,0,1,0,0,5,8,0,296,12
79,0,1,0,0,0,1,0,0,2,11,0,427,12
76,0,0,0,0,0,0,0,0,0,10,0,211,5
72,0,0,1,0,0,0,0,0,0,7,0,356,13
74,0,1,1,1,1,0,1,0,0,9,0,330,12
70,0,0,1,0,0,0,0,0,0,9,0,203,6
15,0,1,1,1,0,1,0,0,0,8,0,292,31
81,0,1,0,0,0,1,0,0,0,5,0,373,6
80,0,1,0,0,0,0,0,0,1,9,1,225,6
2,0,1,1,0,0,0,0,0,3,12,2,262,27
21,1,0,1,1,0,0,0,0,0,13,0,238,4
71,0,0,1,0,1,1,0,1,3,9,0,400,27
22,1,0,1,1,0,0,0,0,1,12,2,285,7
77,0,0,1,0,1,1,1,0,0,10,4,302,27
13,0,0,1,0,1,1,1,0,0,11,2,471,33
8,0,1,1,0,1,0,1,0,0,10,3,255,50
18,0,0,0,1,0,0,0,0,0,10,3,231,10
45,0,0,1,0,1,1,1,0,1,12,0,293,30
73,0,0,0,0,0,0,0,0,3,12,0,248,4
30,0,0,1,0,0,0,0,0,0,10,1,286,54
74,0,1,0,0,0,0,0,0,0,9,0,215,7
74,0,1,1,0,1,0,0,1,0,5,0,675,13
9,0,0,0,0,0,0,0,0,1,12,0,280,5
27,1,0,0,0,0,0,0,0,3,12,0,307,34
76,0,0,1,0,0,0,0,0,0,9,0,249,4
7,1,1,0,0,0,0,0,0,0,10,2,218,9
22,0,0,1,1,0,1,0,0,0,10,1,276,15
70,0,0,0,0,0,0,0,0,1,12,4,394,8
78,0,1,0,0,0,1,0,0,4,11,0,362,6
16,0,1,1,1,1,0,1,0,2,6,0,416,32
73,0,0,1,0,0,1,0,0,1,10,0,314,7
78,1,0,1,0,1,1,1,0,0,11,2,357,30
70,0,0,1,1,0,1,0,0,0,16,1,397,16
62,0,1,1,1,0,1,0,0,0,7,0,512,6
70,0,0,1,0,0,0,0,0,0,11,2,233,14
70,1,0,1,0,1,0,0,0,0,12,0,275,31
70,0,0,1,1,1,0,0,1,0,6,0,730,13
74,1,0,1,1,0,0,0,0,0,12,0,368,6
75,1,0,1,1,0,0,0,0,0,4,0,457,5
25,0,0,1,0,1,0,1,0,0,12,0,243,42
73,0,0,1,0,1,1,0,1,2,7,1,569,63
42,0,0,1,0,0,0,0,0,1,8,0,213,7
70,0,0,0,0,1,1,1,0,3,12,2,424,54
15,1,1,1,0,1,1,1,0,1,11,8,285,88
17,1,0,1,0,1,1,1,0,1,13,5,292,82
80,0,0,1,1,1,1,1,0,1,12,0,332,16
49,0,0,1,0,1,1,1,0,3,11,2,322,37
76,0,1,1,1,0,1,0,0,1,11,0,270,5
57,0,0,1,0,1,1,0,0,0,8,3,292,41
80,0,0,1,1,0,1,0,0,0,12,0,304,6
8,0,0,0,0,0,0,0,0,0,10,0,204,3
73,0,0,1,1,1,1,0,1,2,11,0,501,36
47,0,0,1,0,0,0,0,0,0,10,0,259,13
32,0,0,1,1,0,0,0,0,3,6,0,611,8
76,0,0,1,0,0,1,0,0,1,5,0,398,7
70,0,0,1,1,0,1,0,0,0,12,0,458,13
72,1,0,1,1,0,0,0,0,0,5,0,889,7
79,0,1,1,1,1,1,1,0,0,9,1,291,11
26,0,0,1,0,1,0,1,0,2,10,3,307,37
77,0,0,1,0,1,1,1,0,3,12,1,412,51
28,0,0,1,0,0,0,0,0,0,10,0,225,4
74,0,1,1,0,0,0,0,0,0,12,1,241,18
1,0,0,1,0,0,1,0,0,0,7,2,262,21
71,1,1,1,1,0,1,0,0,0,8,0,308,7
21,0,0,0,0,0,0,0,0,1,12,2,248,15
71,0,1,1,0,0,0,0,0,0,12,0,240,6
74,0,0,1,1,0,1,0,0,1,12,1,250,6
71,0,0,1,1,1,1,1,0,1,7,0,377,24
73,1,0,0,0,0,0,0,0,7,4,0,606,7
30,1,0,1,0,0,0,0,0,6,6,0,631,9
81,0,0,1,1,1,1,1,0,0,12,1,306,28
6,0,0,0,0,0,1,0,0,2,8,11,329,41
33,1,0,0,0,0,1,0,0,0,9,1,280,5
75,0,0,1,0,1,0,0,0,0,7,4,349,14
76,0,0,1,1,0,0,0,0,0,7,0,654,3
38,0,1,1,0,0,0,0,0,0,8,0,199,2
23,0,1,0,0,0,1,0,0,0,8,0,338,6
77,0,0,1,0,0,1,0,0,0,8,0,244,28
80,0,0,0,0,0,0,0,0,0,9,0,253,2
70,1,0,1,0,0,0,0,0,0,9,0,253,9
72,1,0,1,0,0,0,0,0,3,7,0,464,3
74,0,0,1,1,0,1,0,0,0,10,0,357,30
23,0,1,1,1,0,1,0,0,1,8,1,314,7
23,1,0,0,0,0,0,0,0,0,11,0,233,6
78,0,0,1,1,0,1,0,0,0,10,0,408,19
29,1,0,1,0,0,0,0,0,4,11,0,344,8
78,0,0,1,0,1,1,0,0,0,12,1,297,16
70,0,0,1,0,0,0,0,0,0,9,0,309,3
72,0,0,1,1,1,0,1,0,0,8,0,349,16
77,0,0,0,0,0,1,0,0,0,12,1,369,10
43,0,1,1,0,0,0,0,0,0,9,2,243,12
70,1,0,1,0,1,0,0,1,0,2,0,303,18
70,1,0,0,0,0,1,0,0,2,5,0,625,13
31,0,0,1,1,0,1,0,0,0,8,1,279,9
4,1,0,1,0,0,0,0,0,1,11,2,277,5
72,0,0,0,0,0,0,0,0,3,11,1,311,25
72,0,0,1,0,0,1,0,0,1,7,3,373,27
71,1,1,1,0,0,1,0,0,0,8,0,281,27
8,1,1,0,0,0,0,0,0,0,12,0,332,6
76,0,0,1,0,1,1,1,0,0,10,0,308,23
77,0,0,1,0,1,0,0,0,0,8,0,622,17
1,1,0,0,0,0,1,0,0,26,7,0,636,6
77,0,0,1,0,0,1,1,0,0,13,1,331,14
81,0,0,1,0,1,1,0,1,0,12,0,300,20
30,0,1,0,0,0,0,0,0,7,12,1,342,26
26,1,0,0,1,0,1,0,0,2,6,0,575,5
77,0,0,1,0,0,0,0,0,0,7,0,215,4
21,0,0,0,0,1,1,1,0,1,9,3,265,28
76,0,1,1,0,1,1,1,0,3,10,0,508,27
76,0,0,0,0,0,0,0,0,0,10,0,208,5
77,0,0,0,0,0,0,0,0,0,13,0,372,5
76,0,0,1,0,0,0,0,0,0,9,0,210,6
13,0,0,1,0,0,1,0,0,2,12,1,495,3
74,0,0,1,0,1,0,1,0,0,12,0,276,29
76,0,0,1,0,0,1,0,0,7,11,1,512,12
4,1,0,1,0,0,0,0,0,4,3,0,566,15
76,1,0,1,1,0,1,0,0,1,12,0,281,3
74,0,0,0,0,0,0,0,0,2,8,0,471,6
80,0,1,1,1,0,1,0,0,9,11,0,503,5
8,0,0,0,0,0,0,0,0,1,9,1,220,6
77,0,0,0,1,1,1,1,0,6,10,7,323,35
70,0,0,1,0,0,1,0,0,0,10,1,275,22
77,0,1,0,0,1,1,1,0,3,8,5,355,39
79,0,0,0,0,1,0,1,0,0,11,0,256,14
75,1,0,1,1,1,1,0,1,4,11,0,418,42
73,0,0,0,0,0,0,0,0,0,12,1,289,14
70,0,0,1,0,0,0,0,0,0,7,0,361,6
10,0,0,1,0,1,1,1,0,1,9,1,276,75
81,0,1,0,0,0,0,0,0,0,10,0,498,6
73,0,0,1,1,0,0,0,0,0,9,0,299,4
78,0,0,1,0,0,1,0,0,0,12,0,483,5
81,1,0,1,0,1,1,1,0,0,12,0,308,23
73,0,0,0,1,0,0,0,0,1,7,0,629,8
70,1,0,0,0,0,0,0,0,0,10,0,225,3
80,0,0,1,1,0,1,0,0,0,8,1,274,12
76,0,0,1,0,0,1,0,0,4,8,0,437,45
70,0,0,1,1,1,0,0,0,0,8,2,260,18
79,0,1,1,0,0,1,0,0,0,8,1,303,5
76,0,0,0,0,0,0,0,0,0,12,1,274,8
77,0,0,1,0,0,1,0,0,1,7,0,269,8
79,1,1,0,0,0,1,0,0,13,9,0,553,12
77,0,1,1,0,1,1,0,1,0,10,1,361,38
79,0,1,0,0,0,1,0,0,6,6,0,432,6
57,0,1,0,1,1,1,0,1,3,5,0,409,31
24,0,0,1,0,0,0,0,0,2,8,0,254,12
17,0,0,1,0,1,0,0,1,1,9,0,325,11
74,0,0,1,0,0,0,0,0,0,10,0,241,11
71,1,0,1,0,0,0,0,0,2,12,0,348,11
75,1,0,0,1,0,0,0,0,3,10,0,364,9
55,0,0,1,0,1,1,1,0,2,9,7,266,34
18,0,0,1,0,0,0,0,0,3,12,0,420,4
5,0,0,1,0,1,0,1,0,1,9,14,209,70
79,0,1,0,0,0,0,0,0,0,10,2,398,7
24,0,0,1,1,1,1,1,0,0,4,0,533,6
72,0,0,1,1,0,0,0,0,0,11,0,365,61
79,0,0,1,0,0,0,0,0,0,10,0,237,10
10,0,0,1,0,1,1,1,0,2,9,1,276,45
28,0,0,1,1,0,1,0,0,3,11,0,349,7
74,1,1,1,0,0,0,0,0,0,6,0,355,33
73,0,0,1,0,1,1,1,0,0,9,0,274,35
71,0,0,1,1,0,0,0,0,0,10,0,357,2
37,0,0,1,0,1,1,0,1,1,6,4,383,143
70,0,0,1,1,0,0,0,0,4,15,0,474,2
73,0,0,1,1,0,1,0,0,0,12,0,302,14
79,0,0,1,0,0,0,0,0,0,12,0,269,10
79,0,0,0,0,0,0,1,0,0,9,4,250,18
12,0,0,0,0,0,0,0,0,0,9,3,244,15
32,0,0,1,1,0,1,0,0,1,11,0,470,9
73,0,0,1,1,0,1,0,0,0,9,2,306,21
3,0,0,1,0,0,0,0,0,0,9,0,213,17
71,1,0,0,0,0,0,0,0,2,12,2,299,11
70,1,0,0,0,0,0,0,0,3,2,0,734,7
74,0,0,1,0,0,1,0,0,0,8,3,284,35
77,0,0,0,0,0,1,0,0,5,10,0,487,13
73,0,0,1,0,1,1,0,0,0,12,0,303,14
73,0,0,1,0,0,0,0,0,0,10,1,224,8
73,0,0,1,0,1,1,1,0,2,5,0,382,20
70,0,0,1,0,1,1,1,0,0,11,1,268,31
72,0,0,0,0,0,0,0,0,0,9,2,214,6
69,1,0,0,0,0,0,0,0,0,11,0,561,7
72,1,0,0,1,0,0,0,0,3,6,0,461,4
75,0,0,1,0,1,1,0,1,4,9,0,769,31
75,0,1,0,0,1,0,1,0,0,12,0,549,11
79,0,0,0,0,0,0,0,0,0,14,1,257,5
80,0,0,1,1,1,1,1,0,1,12,0,452,21
72,0,0,1,0,0,0,0,0,0,11,0,292,6
80,0,1,1,0,1,1,1,0,0,12,0,341,20
6,1,0,1,0,0,1,0,0,3,3,0,663,19
70,1,1,1,0,0,0,0,0,0,8,0,245,10
5,0,1,0,0,0,0,0,0,2,12,1,335,10
25,1,0,1,1,0,1,0,0,0,12,0,323,17
72,0,0,1,0,0,1,0,0,3,3,0,499,4
32,1,0,0,0,0,1,0,0,4,9,1,601,7
76,1,0,1,1,0,0,0,0,1,8,0,370,3
79,0,0,1,1,1,1,1,0,5,12,1,366,42
71,0,0,1,0,0,0,0,0,0,11,0,232,6
25,0,0,0,0,0,0,0,0,0,10,0,286,5
81,0,0,1,0,0,1,0,0,0,8,0,322,7
73,1,0,1,1,0,0,1,0,1,11,0,546,5
81,0,0,1,0,0,0,0,0,0,11,0,246,8
76,0,0,0,0,0,0,0,0,1,9,2,247,9
76,0,0,1,0,0,0,0,0,0,9,0,220,4
44,1,0,1,1,0,0,0,0,6,7,0,509,4
11,0,0,1,1,0,0,0,0,0,12,0,334,6
78,0,0,0,0,0,0,0,0,0,12,2,228,6
2,0,0,1,0,0,1,0,0,0,12,1,301,10
80,1,1,1,1,1,1,0,0,8,10,0,422,25
34,0,0,1,1,1,1,1,0,1,9,0,251,14
24,0,0,1,1,0,1,0,0,2,4,1,430,42
11,0,0,0,0,0,0,0,0,0,11,3,226,7
71,0,0,1,0,1,0,1,0,3,11,3,323,41
76,1,1,0,0,0,0,0,0,0,12,0,438,8
24,0,1,1,0,1,0,1,0,0,11,1,320,8
25,0,0,1,0,0,1,0,0,0,8,0,272,7
71,0,0,0,1,1,0,1,0,2,11,1,259,22
73,0,0,1,0,1,1,1,0,1,10,1,287,24
72,1,0,1,0,1,1,1,0,10,9,1,433,34
80,0,1,0,0,0,1,0,0,0,9,0,353,5
76,0,0,0,1,0,0,0,0,0,9,3,247,15
70,1,0,1,0,0,0,0,0,2,7,0,576,2
74,0,0,1,0,0,0,0,0,0,10,0,205,2
76,1,1,0,0,0,0,0,0,3,12,0,397,25
77,0,0,1,0,0,0,0,0,1,11,0,286,3
42,0,0,0,0,0,0,1,0,2,14,7,317,18
73,0,0,0,0,1,0,1,0,1,12,3,216,30
70,0,1,1,0,1,0,0,1,1,12,0,451,40
73,0,0,1,0,0,1,0,0,1,12,0,273,3
27,0,0,1,0,1,0,1,0,5,10,1,341,21
76,0,0,1,1,1,1,1,0,1,14,0,320,9
43,1,0,1,0,0,0,0,0,0,10,0,217,2
75,1,0,1,1,0,1,0,0,4,9,0,508,5
70,0,0,1,0,0,0,1,0,0,11,0,229,4
22,0,0,1,1,1,1,0,1,2,10,1,323,63
28,0,0,1,0,0,1,0,0,0,10,0,272,13
2,0,0,1,0,0,0,1,0,2,11,0,827,5
76,1,0,1,0,0,0,0,0,1,8,0,692,5
18,0,0,0,0,1,1,1,0,0,3,1,425,25
70,0,0,1,1,1,1,1,0,0,9,0,426,12
73,0,1,1,0,0,0,0,0,0,7,0,208,4
79,0,0,0,0,0,1,0,0,0,12,0,360,6
77,1,0,1,0,0,0,0,0,2,14,0,506,4
71,0,0,0,0,0,0,0,0,0,11,0,228,6
73,1,1,1,1,1,1,1,0,0,8,1,639,30
19,0,1,1,1,0,0,0,0,0,10,1,293,19
72,0,1,1,1,0,1,0,0,0,7,0,670,23
70,0,0,1,0,0,1,0,0,0,9,0,241,9
21,0,0,1,0,0,0,0,0,1,12,0,321,18
72,0,0,1,0,0,0,0,0,4,11,6,289,46
20,0,0,0,0,0,0,0,0,0,9,1,203,6
80,1,0,0,1,0,0,0,0,0,12,0,336,4
49,0,0,1,0,0,0,0,0,0,11,1,283,4
33,0,1,1,1,0,1,0,0,8,7,0,544,5
80,0,0,1,0,0,1,0,0,0,13,3,289,18
78,0,0,1,0,0,0,0,0,0,10,0,238,8
19,0,1,0,0,0,1,0,0,2,12,1,406,21
73,0,0,1,0,1,1,0,1,0,12,1,278,27
74,0,0,0,0,0,0,0,0,0,10,0,249,3
35,0,0,1,1,1,0,1,0,0,12,0,324,18
12,1,1,1,0,1,1,0,0,2,10,6,258,57
78,0,0,1,0,0,1,0,0,0,12,0,272,8
2,1,0,1,0,0,1,0,0,4,7,1,420,35
74,0,0,1,0,0,1,0,0,0,19,0,473,6
6,0,0,1,0,0,0,1,0,1,10,5,250,27
9,0,0,1,0,0,0,0,0,0,10,1,237,19
72,0,0,1,0,0,1,0,0,0,9,0,300,46
46,1,0,0,1,0,0,0,0,2,12,0,539,5
80,0,0,1,0,1,0,0,1,0,6,0,591,24
75,0,0,1,0,1,0,1,0,7,12,0,488,43
23,0,1,1,0,0,0,0,0,2,12,0,349,9
73,0,0,1,0,0,0,0,0,1,12,1,285,16
75,0,0,1,1,0,1,0,0,0,12,3,287,33
23,0,0,1,1,0,1,0,0,0,12,1,349,10
77,0,1,0,0,0,1,0,0,0,9,4,339,22
14,0,0,1,1,1,0,1,0,2,10,0,311,34
46,0,0,1,0,0,0,0,0,0,11,0,244,9
7,0,0,0,0,0,0,0,0,1,10,0,349,7
41,1,0,1,1,1,1,1,0,4,12,1,417,20
79,0,1,1,1,0,0,0,0,1,12,0,611,4
70,0,0,1,0,0,0,0,0,1,11,0,492,3
70,0,0,1,0,1,1,0,1,0,8,0,271,32
73,1,0,0,1,0,0,0,0,0,3,0,542,6
76,0,0,1,0,0,1,0,0,2,9,0,436,20
77,0,1,1,0,0,1,0,0,0,7,0,338,17
12,1,1,1,0,0,0,0,0,0,8,0,220,6
70,1,0,0,0,0,0,0,0,2,6,0,697,7
19,0,1,1,0,0,1,0,0,11,15,1,501,9
79,0,1,1,0,0,0,1,0,2,9,0,374,7
1,0,0,0,0,1,1,1,0,0,9,2,278,48
24,0,0,1,1,0,1,0,0,0,10,0,261,13
62,0,0,1,0,1,0,0,1,1,11,0,309,45
38,0,0,1,0,1,1,1,0,1,12,3,283,32
36,0,0,1,0,0,0,0,0,0,9,1,216,3
72,0,1,1,0,0,0,0,0,0,10,1,296,15
70,0,0,1,0,0,0,0,0,0,10,0,214,1
6,0,1,1,0,0,0,0,0,0,12,0,280,14
5,1,0,0,0,0,0,0,0,4,10,0,599,7
39,0,0,1,0,0,0,0,0,0,8,0,229,9
59,0,1,1,0,0,1,0,0,0,6,0,638,6
4,0,0,1,0,1,1,1,0,1,4,0,292,93
73,0,0,0,1,0,0,0,0,0,9,0,254,5
78,0,0,0,1,0,0,0,0,0,7,0,353,5
74,0,1,1,1,0,1,0,0,8,10,2,527,38
72,0,0,1,0,1,0,1,0,0,12,1,291,30
10,0,0,1,0,1,1,1,0,0,12,6,278,67
14,0,0,0,0,0,0,0,0,0,10,2,241,12
7,0,0,1,0,0,0,0,0,2,8,8,237,44
33,0,1,0,0,1,1,1,0,0,8,2,308,33
81,0,1,0,1,0,0,0,0,0,13,0,318,5
23,0,0,0,0,1,1,1,0,1,8,0,261,37
73,0,0,1,0,0,0,0,0,0,8,0,212,7
76,0,0,0,0,1,0,1,0,4,8,0,275,45
59,0,0,1,0,1,1,1,0,1,10,4,245,20
76,0,0,1,0,0,0,0,0,0,10,1,247,10
23,1,1,1,1,0,1,0,0,1,6,1,572,5
26,0,0,0,0,1,1,0,1,0,3,11,361,43
70,1,0,0,0,0,1,0,0,4,6,0,398,6
14,1,0,0,0,0,0,0,0,5,12,0,441,6
76,0,0,1,1,0,1,0,0,0,10,1,288,31
71,0,0,1,0,0,0,0,0,0,12,0,255,6
71,1,0,1,1,0,1,0,0,0,12,0,355,8
71,1,1,1,0,1,0,0,1,0,11,2,420,26
72,0,0,1,1,0,1,0,0,0,16,0,520,8
74,1,0,1,1,0,1,0,0,0,8,0,439,3
20,0,1,1,1,0,1,0,0,0,9,0,262,8
74,0,0,1,0,1,1,1,0,0,8,2,259,25
81,0,0,1,0,1,1,1,0,0,11,0,233,16
72,0,0,1,1,0,1,0,0,0,14,0,341,3
74,0,0,1,1,0,1,0,0,0,9,0,413,7
70,0,0,0,1,0,0,0,0,0,12,0,362,5
55,0,0,0,0,0,1,0,0,1,12,0,397,6
46,0,0,1,1,0,1,0,0,0,12,1,303,6
43,1,0,0,1,0,0,0,0,0,10,0,234,6
71,0,1,0,0,0,0,0,0,0,10,0,251,3
40,0,0,1,1,0,1,0,0,6,9,0,537,5
71,0,1,0,1,0,0,0,0,0,7,0,532,12
80,0,0,1,0,0,0,0,0,7,12,0,624,6
15,1,0,0,1,0,0,0,0,0,10,1,228,3
37,0,0,1,0,1,0,1,0,0,10,4,267,38
71,0,0,1,1,1,1,1,0,1,12,0,302,26
53,0,0,0,0,0,0,0,0,0,11,0,294,6
12,0,1,0,0,0,0,0,0,0,10,1,260,11
75,0,0,1,1,0,1,0,0,0,8,0,452,7
70,0,0,1,0,0,0,0,0,0,10,0,203,1
79,0,0,0,1,0,1,0,0,0,12,0,304,5
38,0,0,0,0,0,0,0,0,0,9,0,237,3
1,1,0,1,1,0,0,0,0,16,10,0,516,7
73,1,1,1,0,0,0,0,0,0,10,1,219,4
78,0,0,1,1,0,1,0,0,1,3,0,606,10
70,0,0,0,0,1,1,1,0,1,8,3,248,28
80,0,0,1,0,1,0,1,0,4,10,0,647,29
78,0,0,1,1,0,0,0,0,0,6,0,442,6
80,0,0,1,0,1,0,0,1,0,11,0,238,15
72,1,1,1,0,1,0,1,0,2,9,7,279,46
11,0,1,0,1,0,0,1,0,13,10,1,578,7
35,0,1,1,0,0,1,0,0,0,8,0,325,10
76,1,0,0,0,0,0,0,0,3,8,0,608,5
76,0,0,1,1,1,1,1,0,0,8,0,278,23
79,1,0,0,0,0,0,0,0,1,12,2,550,13
4,1,1,0,0,0,0,0,0,4,9,3,300,16
80,0,0,1,0,1,1,1,0,0,8,0,243,15
37,0,0,0,0,0,1,0,0,2,12,1,385,25
68,1,0,1,0,0,0,0,0,1,11,2,270,5
72,0,0,1,1,0,0,1,0,0,7,0,311,1
73,1,0,1,0,0,0,0,0,1,10,0,646,4
77,1,0,1,0,0,0,0,0,0,12,0,393,2
74,0,0,0,1,0,1,0,0,2,4,0,451,6
14,0,1,1,0,1,1,0,0,3,11,2,267,50
74,1,0,1,1,0,0,0,0,1,8,1,245,11
67,0,0,1,1,0,0,0,0,0,9,0,245,10
20,0,0,0,0,0,0,0,0,0,12,4,240,12
74,0,0,1,0,0,0,0,0,0,11,0,207,2
74,0,0,1,0,0,1,0,0,0,10,0,333,14
73,1,0,1,0,0,1,0,0,1,10,1,262,13
79,1,1,0,0,0,0,0,0,0,10,1,246,4
16,1,0,1,0,0,0,0,0,0,8,1,232,8
42,0,1,1,0,1,0,1,0,0,8,2,265,16
78,0,0,1,0,0,1,0,0,0,11,0,252,7
15,0,0,0,0,0,1,0,0,1,11,1,322,13
6,0,0,1,0,1,0,0,1,1,10,7,268,106
76,0,0,1,1,0,1,0,0,0,12,1,284,19
27,1,0,0,0,0,1,0,0,1,11,0,350,6
25,0,1,1,0,0,1,0,0,2,6,0,429,4
7,0,0,1,1,1,1,1,0,2,9,2,295,27
67,0,0,1,0,0,0,0,0,1,11,0,354,4
5,1,1,1,0,1,0,1,0,0,10,0,235,19
80,0,1,0,0,0,0,1,0,0,8,7,248,23
77,0,0,0,0,0,0,0,0,0,12,0,326,6
16,0,0,0,0,0,1,0,0,3,11,1,341,6
74,0,0,1,0,0,0,0,0,0,11,0,231,5
72,1,1,1,1,0,0,0,0,4,11,5,352,24
78,0,1,1,1,0,0,0,0,0,4,0,604,12
74,1,1,1,0,0,0,0,0,0,8,0,244,4
71,0,0,1,0,1,1,1,0,0,13,1,294,32
73,1,1,1,0,1,1,0,1,2,1,1,614,41
73,0,0,1,1,1,1,1,0,1,7,0,697,23
18,0,0,1,0,0,1,0,0,7,11,1,304,56
72,0,0,0,0,1,1,0,0,1,12,1,424,23
23,0,1,0,0,0,0,0,0,3,8,1,280,6
71,0,1,1,0,0,0,0,0,0,10,1,266,28
70,0,0,0,0,0,0,0,0,1,13,1,234,6
71,0,0,0,0,0,0,0,0,0,9,0,204,6
75,1,0,1,1,0,1,0,0,0,11,0,310,4
71,0,1,1,1,1,1,0,1,0,3,0,587,25
29,0,1,0,0,0,1,0,0,2,12,1,546,13
78,0,0,1,0,1,1,1,0,0,10,4,315,26
22,1,0,1,1,0,0,0,0,1,9,2,240,7
72,0,1,1,0,1,0,1,0,0,8,1,235,10
75,0,0,1,1,0,1,0,0,0,10,0,278,26
70,0,1,1,0,0,0,0,0,0,7,2,296,8
10,0,0,1,0,0,0,0,0,1,9,0,252,8
70,0,0,1,0,1,1,1,0,0,8,4,279,45
20,1,0,0,0,0,0,0,0,0,11,3,306,19
27,0,0,1,1,1,1,1,0,0,12,0,317,28
72,1,0,1,0,0,0,0,0,0,11,0,405,4
73,0,0,1,0,0,0,0,0,0,11,0,219,8
76,0,0,0,0,0,1,0,0,1,9,0,284,6
21,0,0,0,0,0,0,0,0,0,9,6,266,14
10,0,1,1,0,1,1,1,0,0,11,1,323,23
76,1,0,0,0,0,0,0,0,0,9,0,242,6
79,0,0,1,0,1,0,1,0,0,11,0,238,20
53,0,0,1,1,0,1,0,0,1,6,1,582,6
11,1,0,1,0,1,1,1,0,1,10,7,299,134
71,0,0,0,0,0,0,0,0,0,8,1,230,6
18,0,1,0,0,0,0,0,0,0,10,1,239,10
45,0,0,1,0,0,1,0,0,0,11,0,260,8
14,0,0,0,0,1,0,1,0,0,11,1,258,19
80,0,0,1,1,0,1,0,0,0,8,1,337,10
71,0,0,1,1,1,1,1,0,0,9,0,415,20
21,0,1,1,0,0,1,0,0,0,12,0,236,7
71,0,0,1,0,0,1,0,0,0,8,0,306,15
74,0,0,1,0,1,1,0,1,7,8,1,357,27
10,0,1,1,0,0,0,0,0,1,8,0,237,14
36,0,1,1,0,1,0,1,0,0,8,2,238,15
71,0,0,1,0,1,0,1,0,0,9,0,253,23
