id,read,math,apt,prog_academic,prog_general,prog_vocational
142,47,52,523,0,0,1
143,63,75,800,0,0,1
144,60,58,712,1,0,0
145,42,38,458,0,0,1
146,55,64,688,0,1,0
147,47,53,619,0,1,0
148,42,51,565,0,0,1
149,63,49,727,1,0,0
150,42,57,554,0,0,1
151,47,52,633,0,0,1
152,55,56,687,0,1,0
153,39,40,665,0,0,1
154,65,66,796,0,1,0
155,44,46,614,1,0,0
156,50,53,618,0,1,0
157,68,58,733,1,0,0
158,52,55,657,1,0,0
159,55,54,592,0,1,0
160,55,55,746,0,1,0
161,57,72,800,0,1,0
162,57,40,702,0,0,1
163,52,64,800,0,1,0
164,31,46,516,0,0,1
165,36,54,604,0,0,1
166,52,53,669,0,1,0
167,63,35,563,1,0,0
168,52,57,695,0,1,0
169,55,63,779,1,0,0
170,47,61,712,0,1,0
171,60,60,678,0,1,0
172,47,57,618,0,1,0
173,50,61,650,1,0,0
174,68,71,750,0,1,0
175,36,42,454,1,0,0
176,47,41,586,0,1,0
177,55,62,688,0,1,0
178,47,57,640,0,0,1
179,47,60,609,0,1,0
180,71,69,800,0,1,0
181,50,45,662,0,1,0
182,44,43,462,0,1,0
183,63,49,591,0,1,0
184,50,53,496,0,0,1
185,63,55,647,0,1,0
186,57,63,681,0,1,0
187,57,57,800,1,0,0
188,63,56,796,0,1,0
189,47,63,669,0,1,0
190,47,54,661,0,1,0
191,47,43,567,0,1,0
192,65,63,800,0,1,0
193,44,48,666,0,1,0
194,63,69,800,0,1,0
195,57,60,727,1,0,0
196,44,49,539,0,1,0
197,50,50,594,0,1,0
198,47,51,616,0,1,0
199,52,50,558,0,1,0
200,68,75,800,0,1,0
