Date,UE,CPI_PC1
11/1/75,8.3,7.37864
12/1/75,8.2,7.12909
1/1/76,7.9,6.69216
2/1/76,7.7,6.27376
3/1/76,7.6,6.06061
4/1/76,7.7,5.84906
5/1/76,7.4,6.21469
6/1/76,7.6,5.98131
7/1/76,7.8,5.55556
8/1/76,7.8,5.71956
9/1/76,7.6,5.49451
10/1/76,7.7,5.46448
11/1/76,7.8,5.06329
12/1/76,7.8,5.03597
1/1/77,7.5,5.19713
2/1/77,7.6,6.08229
3/1/77,7.4,6.42857
4/1/77,7.2,6.95187
5/1/77,7,6.73759
6/1/77,7.2,6.70194
7/1/77,6.9,6.66667
8/1/77,7,6.63176
9/1/77,6.8,6.42361
10/1/77,6.8,6.39033
11/1/77,6.8,6.71256
12/1/77,6.4,6.67808
1/1/78,6.4,6.81431
2/1/78,6.3,6.23946
3/1/78,6.3,6.37584
4/1/78,6.1,6.5
5/1/78,6,7.14286
6/1/78,5.9,7.43802
7/1/78,6.2,7.73026
8/1/78,5.9,7.85597
9/1/78,6,8.48287
10/1/78,5.8,8.92857
11/1/78,5.9,8.87097
12/1/78,6,8.98876
1/1/79,5.9,9.2504
2/1/79,5.9,9.84127
3/1/79,5.8,10.25237
4/1/79,5.8,10.48513
5/1/79,5.6,10.69767
6/1/79,5.7,11.07692
7/1/79,5.7,11.45038
8/1/79,6,11.83612
9/1/79,5.9,11.8797
10/1/79,6,12.07154
11/1/79,5.9,12.59259
12/1/79,6,13.25479
1/1/80,6.3,13.86861
2/1/80,6.3,14.16185
3/1/80,6.3,14.59227
4/1/80,6.9,14.58924
5/1/80,7.5,14.42577
6/1/80,7.6,14.26593
7/1/80,7.8,13.15068
8/1/80,7.7,12.89009
9/1/80,7.5,12.76882
10/1/80,7.5,12.63298
11/1/80,7.5,12.63158
12/1/80,7.2,12.35371
1/1/81,7.5,11.79487
2/1/81,7.4,11.39241
3/1/81,7.4,10.61174
4/1/81,7.2,10.13597
5/1/81,7.5,9.79192
6/1/81,7.5,9.69697
7/1/81,7.2,10.77482
8/1/81,7.4,10.81731
9/1/81,7.6,10.96544
10/1/81,7.9,10.27155
11/1/81,8.3,9.57944
12/1/81,8.5,8.91204
1/1/82,8.6,8.25688
2/1/82,8.9,7.61364
3/1/82,9,6.88488
4/1/82,9.3,6.62177
5/1/82,9.4,6.91193
6/1/82,9.6,7.18232
7/1/82,9.8,6.55738
8/1/82,9.8,5.96529
9/1/82,10.1,4.94092
10/1/82,10.4,5.03212
11/1/82,10.8,4.47761
12/1/82,10.8,3.82572
1/1/83,10.4,3.70763
2/1/83,10.4,3.48469
3/1/83,10.3,3.59029
4/1/83,10.2,4
5/1/83,10.1,3.44108
6/1/83,10.1,2.47423
7/1/83,9.4,2.35897
8/1/83,9.5,2.4565
9/1/83,9.2,2.76356
10/1/83,8.8,2.75229
11/1/83,8.5,3.16327
12/1/83,8.3,3.7871
1/1/84,8,4.29009
2/1/84,7.8,4.69388
3/1/84,7.8,4.89297
4/1/84,7.7,4.55466
5/1/84,7.4,4.33468
6/1/84,7.2,4.32596
7/1/84,7.5,4.30862
8/1/84,7.5,4.2957
9/1/84,7.3,4.28287
10/1/84,7.4,4.26587
11/1/84,7.2,4.1543
12/1/84,7.3,4.04339
1/1/85,7.3,3.52595
2/1/85,7.2,3.60624
3/1/85,7.2,3.79009
4/1/85,7.3,3.5818
5/1/85,7.2,3.57488
6/1/85,7.4,3.66442
7/1/85,7.4,3.45821
8/1/85,7.1,3.35249
9/1/85,7.1,3.24737
10/1/85,7.1,3.23501
11/1/85,7,3.51377
12/1/85,7,3.79147
1/1/86,6.7,3.97351
2/1/86,7.2,3.19849
3/1/86,7.2,2.15356
4/1/86,7.1,1.58879
5/1/86,7.2,1.6791
6/1/86,7.2,1.76744
7/1/86,7,1.67131
8/1/86,6.9,1.57553
9/1/86,7,1.75763
10/1/86,7,1.56682
11/1/86,6.9,1.2844
12/1/86,6.6,1.18721
1/1/87,6.6,1.36488
2/1/87,6.6,1.91431
3/1/87,6.6,2.84143
4/1/87,6.3,3.67985
5/1/87,6.3,3.66972
6/1/87,6.2,3.74771
7/1/87,6.1,3.92694
8/1/87,6,4.28832
9/1/87,5.9,4.27273
10/1/87,6,4.35572
11/1/87,5.8,4.52899
12/1/87,5.7,4.33213
1/1/88,5.7,4.12926
2/1/88,5.7,3.9356
3/1/88,5.7,3.83244
4/1/88,5.4,3.9929
5/1/88,5.6,3.9823
6/1/88,5.4,3.96476
7/1/88,5.4,4.13005
8/1/88,5.6,4.11199
9/1/88,5.4,4.18483
10/1/88,5.4,4.26087
11/1/88,5.3,4.2461
12/1/88,5.3,4.41176
1/1/89,5.4,4.48276
2/1/89,5.2,4.64716
3/1/89,5,4.8927
4/1/89,5.2,5.03413
5/1/89,5.2,5.2766
6/1/89,5.3,5.16949
7/1/89,5.2,5.06329
8/1/89,5.2,4.62185
9/1/89,5.3,4.43515
10/1/89,5.3,4.58716
11/1/89,5.4,4.65503
12/1/89,5.4,4.6396
1/1/90,5.4,5.19802
2/1/90,5.3,5.26316
3/1/90,5.2,5.23732
4/1/90,5.4,4.71162
5/1/90,5.4,4.3654
6/1/90,5.2,4.67365
7/1/90,5.5,4.81928
8/1/90,5.7,5.70281
9/1/90,5.9,6.16987
10/1/90,5.9,6.37959
11/1/90,6.2,6.19539
12/1/90,6.3,6.25495
1/1/91,6.4,5.64706
2/1/91,6.6,5.3125
3/1/91,6.8,4.82115
4/1/91,6.7,4.80993
5/1/91,6.9,5.03486
6/1/91,6.9,4.69592
7/1/91,6.8,4.36782
8/1/91,6.9,3.79939
9/1/91,6.9,3.39623
10/1/91,7,2.84858
11/1/91,7,3.06657
12/1/91,7.3,2.98063
1/1/92,7.3,2.67261
2/1/92,7.4,2.81899
3/1/92,7.4,3.18991
4/1/92,7.4,3.18283
5/1/92,7.6,3.0236
6/1/92,7.8,3.01471
7/1/92,7.7,3.15712
8/1/92,7.6,3.07467
9/1/92,7.6,2.9927
10/1/92,7.3,3.27988
11/1/92,7.4,3.12046
12/1/92,7.4,2.96671
1/1/93,7.3,3.2538
2/1/93,7.1,3.24675
3/1/93,7,3.01941
4/1/93,7.1,3.15638
5/1/93,7.1,3.22119
6/1/93,7,2.99786
7/1/93,6.9,2.84698
8/1/93,6.8,2.84091
9/1/93,6.7,2.764
10/1/93,6.8,2.75229
11/1/93,6.6,2.74455
12/1/93,6.5,2.81096
1/1/94,6.6,2.45098
2/1/94,6.6,2.51572
3/1/94,6.5,2.65178
4/1/94,6.4,2.36439
5/1/94,6.1,2.28849
6/1/94,6.1,2.4948
7/1/94,6.1,2.69896
8/1/94,6,2.90055
9/1/94,5.9,2.96552
10/1/94,5.8,2.60989
11/1/94,5.6,2.60274
12/1/94,5.5,2.5974
1/1/95,5.6,2.87081
2/1/95,5.4,2.86299
3/1/95,5.4,2.78722
4/1/95,5.8,3.125
5/1/95,5.6,3.11864
6/1/95,5.6,3.0426
7/1/95,5.7,2.83019
8/1/95,5.7,2.61745
9/1/95,5.6,2.54521
10/1/95,5.5,2.74431
11/1/95,5.6,2.60347
12/1/95,5.6,2.53165
1/1/96,5.6,2.7907
2/1/96,5.5,2.71703
3/1/96,5.5,2.84392
4/1/96,5.6,2.83267
5/1/96,5.6,2.82709
6/1/96,5.3,2.82152
7/1/96,5.5,2.88336
8/1/96,5.1,2.8123
9/1/96,5.2,3.00457
10/1/96,5.2,3.06189
11/1/96,5.4,3.25309
12/1/96,5.4,3.37882
1/1/97,5.3,3.03814
2/1/97,5.2,3.03226
3/1/97,5.2,2.76527
4/1/97,5.1,2.43434
5/1/97,4.9,2.23785
6/1/97,5,2.23357
7/1/97,4.9,2.16561
8/1/97,4.8,2.29008
9/1/97,4.9,2.2194
10/1/97,4.7,2.08597
11/1/97,4.6,1.89036
12/1/97,4.7,1.69705
1/1/98,4.6,1.63112
2/1/98,4.6,1.4402
3/1/98,4.7,1.37672
4/1/98,4.3,1.4384
5/1/98,4.4,1.68856
6/1/98,4.5,1.62297
7/1/98,4.5,1.74564
8/1/98,4.5,1.61692
9/1/98,4.6,1.4268
10/1/98,4.5,1.48607
11/1/98,4.4,1.48423
12/1/98,4.4,1.60692
1/1/99,4.3,1.66667
2/1/99,4.4,1.66667
3/1/99,4.2,1.7284
4/1/99,4.3,2.28113
5/1/99,4.2,2.09102
6/1/99,4.3,1.9656
7/1/99,4.3,2.14461
8/1/99,4.2,2.26438
9/1/99,4.2,2.62997
10/1/99,4.1,2.56254
11/1/99,4.1,2.62035
12/1/99,4,2.6764
1/1/00,4,2.79296
2/1/00,4.1,3.21797
3/1/00,4,3.76214
4/1/00,3.8,3.01386
5/1/00,4,3.13253
6/1/00,4,3.73494
7/1/00,4,3.59928
8/1/00,4.1,3.35129
9/1/00,3.9,3.4565
10/1/00,3.9,3.45033
11/1/00,3.9,3.44418
12/1/00,3.9,3.43602
1/1/01,4.2,3.7212
2/1/01,4.2,3.52941
3/1/01,4.3,2.98246
4/1/01,4.4,3.21826
5/1/01,4.3,3.56308
6/1/01,4.5,3.19396
7/1/01,4.6,2.72148
8/1/01,4.9,2.72148
9/1/01,5,2.59217
10/1/01,5.3,2.12766
11/1/01,5.5,1.89437
12/1/01,5.7,1.60367
1/1/02,5.7,1.1959
2/1/02,5.7,1.13636
3/1/02,5.7,1.36286
4/1/02,5.9,1.64399
5/1/02,5.8,1.24083
6/1/02,5.8,1.06922
7/1/02,5.8,1.46561
8/1/02,5.7,1.74746
9/1/02,5.7,1.516
10/1/02,5.7,2.02703
11/1/02,5.9,2.25352
12/1/02,6,2.48027
1/1/03,5.8,2.75746
2/1/03,5.9,3.14607
3/1/03,5.9,3.02521
4/1/03,6,2.17513
5/1/03,6.1,1.89415
6/1/03,6.3,1.94878
7/1/03,6.2,2.05556
8/1/03,6.1,2.21607
9/1/03,6.1,2.37832
10/1/03,6,2.04194
11/1/03,5.8,1.92837
12/1/03,5.7,2.0352
1/1/04,5.7,2.02629
2/1/04,5.6,1.68845
3/1/04,5.8,1.74008
4/1/04,5.6,2.29258
5/1/04,5.6,2.89776
6/1/04,5.6,3.16767
7/1/04,5.5,2.93958
8/1/04,5.4,2.54743
9/1/04,5.4,2.53917
10/1/04,5.5,3.19091
11/1/04,5.4,3.62162
12/1/04,5.4,3.34232
1/1/05,5.3,2.84487
2/1/05,5.4,3.05303
3/1/05,5.2,3.20684
4/1/05,5.2,3.36179
5/1/05,5.1,2.86929
6/1/05,5,2.54103
7/1/05,5,3.06716
8/1/05,4.9,3.64693
9/1/05,5,4.74183
10/1/05,5,4.3501
11/1/05,5,3.33855
12/1/05,4.9,3.33855
1/1/06,4.7,4.01879
2/1/06,4.8,3.63825
3/1/06,4.7,3.41792
4/1/06,4.7,3.61384
5/1/06,4.6,3.97727
6/1/06,4.6,4.18172
7/1/06,4.7,4.10467
8/1/06,4.7,3.92657
9/1/06,4.5,2.01207
10/1/06,4.4,1.40633
11/1/06,4.5,1.9687
12/1/06,4.4,2.52398
1/1/07,4.6,2.07577
2/1/07,4.5,2.42026
3/1/07,4.4,2.7982
4/1/07,4.5,2.59292
5/1/07,4.4,2.70989
6/1/07,4.6,2.69277
7/1/07,4.7,2.31789
8/1/07,4.6,1.89745
9/1/07,4.7,2.83383
10/1/07,4.7,3.6107
11/1/07,4.7,4.37327
12/1/07,5,4.10881
1/1/08,5,4.2947
2/1/08,4.9,4.14296
3/1/08,5.1,3.9749
4/1/08,5,3.90376
5/1/08,5.4,4.08841
6/1/08,5.6,4.93597
7/1/08,5.8,5.49751
8/1/08,6.1,5.30802
9/1/08,6.1,4.95332
10/1/08,6.5,3.73106
11/1/08,6.8,1.09992
12/1/08,7.3,-0.02223
1/1/09,7.8,-0.11359
2/1/09,8.3,0.00846
3/1/09,8.7,-0.44648
4/1/09,9,-0.57632
5/1/09,9.4,-1.01576
6/1/09,9.5,-1.22917
7/1/09,9.5,-1.95876
8/1/09,9.6,-1.48384
9/1/09,9.8,-1.37794
10/1/09,10,-0.22397
11/1/09,9.9,1.91459
12/1/09,9.9,2.81412
1/1/10,9.8,2.62111
2/1/10,9.8,2.15134
3/1/10,9.9,2.28617
4/1/10,9.9,2.20677
5/1/10,9.6,2.00355
6/1/10,9.4,1.12156
7/1/10,9.4,1.34078
8/1/10,9.5,1.15018
9/1/10,9.5,1.11831
10/1/10,9.4,1.1667
11/1/10,9.8,1.08454
12/1/10,9.3,1.43779
1/1/11,9.1,1.70078
2/1/11,9,2.1249
3/1/11,9,2.61924
4/1/11,9.1,3.07723
5/1/11,9,3.45897
6/1/11,9.1,3.50232
7/1/11,9,3.57988
8/1/11,9,3.755
9/1/11,9,3.81262
10/1/11,8.8,3.52227
11/1/11,8.6,3.45143
12/1/11,8.5,3.06207
1/1/12,8.3,3.00877
2/1/12,8.3,2.89818
3/1/12,8.2,2.58288
4/1/12,8.2,2.27316
5/1/12,8.2,1.73794
6/1/12,8.2,1.65387
7/1/12,8.2,1.41751
8/1/12,8.1,1.68593
9/1/12,7.8,1.94972
10/1/12,7.8,2.15568
11/1/12,7.7,1.79602
12/1/12,7.9,1.7595
1/1/13,8,1.68406
2/1/13,7.7,2.01814
3/1/13,7.5,1.51875
4/1/13,7.6,1.13881
5/1/13,7.5,1.39039
6/1/13,7.5,1.71579
7/1/13,7.3,1.88547
8/1/13,7.2,1.53881
9/1/13,7.2,1.09473
10/1/13,7.2,0.8768
11/1/13,6.9,1.23287
12/1/13,6.7,1.51284
1/1/14,6.6,1.55776
2/1/14,6.7,1.12047
3/1/14,6.7,1.61269
4/1/14,6.2,2.01513
5/1/14,6.3,2.16695
6/1/14,6.1,2.05898
7/1/14,6.2,1.97424
8/1/14,6.1,1.7151
9/1/14,5.9,1.68405
10/1/14,5.7,1.60954
11/1/14,5.8,1.23152
12/1/14,5.6,0.65312
1/1/15,5.7,-0.22993
2/1/15,5.5,-0.08703
3/1/15,5.4,-0.02203
4/1/15,5.4,-0.10403
5/1/15,5.6,0.03503
6/1/15,5.3,0.17957
7/1/15,5.2,0.22569
8/1/15,5.1,0.2413
9/1/15,5,0.00884
10/1/15,5,0.12762
11/1/15,5.1,0.43632
12/1/15,5,0.63872
1/1/16,4.8,1.2375
2/1/16,4.9,0.84728
3/1/16,5,0.89162
4/1/16,5.1,1.17263
5/1/16,4.8,1.07848
6/1/16,4.9,1.07929
7/1/16,4.8,0.86836
8/1/16,4.9,1.05532
9/1/16,5,1.54864
10/1/16,4.9,1.68592
11/1/16,4.7,1.68433
12/1/16,4.7,2.0508
1/1/17,4.7,2.51039
2/1/17,4.6,2.81036
3/1/17,4.4,2.4412
4/1/17,4.4,2.17622
5/1/17,4.4,1.85634
6/1/17,4.3,1.64057
7/1/17,4.3,1.72511
8/1/17,4.4,1.92812
9/1/17,4.3,2.18057
10/1/17,4.2,2.02076
11/1/17,4.2,2.17249
12/1/17,4.1,2.12993
1/1/18,4,2.15132
2/1/18,4.1,2.26347
3/1/18,4,2.33095
4/1/18,4,2.471
5/1/18,3.8,2.78192
6/1/18,4,2.80755
7/1/18,3.8,2.85412
8/1/18,3.8,2.64292
9/1/18,3.7,2.33206
10/1/18,3.8,2.49203
11/1/18,3.8,2.14733
12/1/18,3.9,2.00238
1/1/19,4,1.55068
2/1/19,3.8,1.52006
3/1/19,3.8,1.85314
4/1/19,3.6,1.99179
5/1/19,3.7,1.79352
6/1/19,3.6,1.64968
7/1/19,3.7,1.77976
8/1/19,3.7,1.74678
9/1/19,3.5,1.71662
10/1/19,3.6,1.76918
11/1/19,3.6,2.0622
12/1/19,3.6,2.31399
1/1/20,3.5,2.50042
2/1/20,3.5,2.33932
3/1/20,4.4,1.54287
4/1/20,14.7,0.3452
5/1/20,13.2,0.22641
6/1/20,11,0.71602
7/1/20,10.2,1.01414
8/1/20,8.4,1.30907
9/1/20,7.9,1.37148
10/1/20,6.9,1.18253
11/1/20,6.7,1.16756
12/1/20,6.7,1.32204
1/1/21,6.3,1.39478
2/1/21,6.2,1.69336
3/1/21,6.1,2.63052
4/1/21,6.1,4.13055
5/1/21,5.8,4.91503
6/1/21,5.9,5.28161
7/1/21,5.4,5.22151
8/1/21,5.2,5.18829
9/1/21,4.8,5.38363
10/1/21,4.5,6.23775
11/1/21,4.2,6.86239
12/1/21,3.9,7.19446
1/1/22,4,7.59528
2/1/22,3.8,7.95485
3/1/22,3.6,8.51522
4/1/22,3.6,8.22777
5/1/22,3.6,8.50233
6/1/22,3.6,8.93299
7/1/22,3.5,8.41318
8/1/22,3.7,8.22736
9/1/22,3.5,8.21485
10/1/22,3.7,7.76249
11/1/22,3.6,7.13535
12/1/22,3.5,6.44494
1/1/23,3.4,6.34716
2/1/23,3.6,5.98644
3/1/23,3.5,4.98692
4/1/23,3.4,4.95719
5/1/23,3.7,4.12884
6/1/23,3.6,3.092
7/1/23,3.5,3.29908
8/1/23,3.8,3.7075
9/1/23,3.8,3.6899
10/1/23,3.9,3.23236
11/1/23,3.7,3.12092
