price,area,bedrooms,bathrooms,stories
308700,8100,2,1,1
308000,4960,2,1,1
308000,2160,3,1,2
308000,3090,2,1,1
308000,4500,2,1,2
304500,3800,2,1,1
301000,3090,3,1,2
301000,3240,3,1,2
301000,2835,2,1,1
301000,4600,2,1,1
301000,5076,3,1,1
301000,3750,3,1,2
301000,3630,4,1,2
300300,8050,2,1,1
297500,4352,4,1,2
296100,3000,2,1,2
294000,5850,3,1,2
294000,4960,2,1,1
294000,3600,3,1,2
294000,3660,4,1,2
294000,3480,3,1,2
294000,2700,2,1,1
294000,3150,3,1,2
294000,6615,3,1,2
287000,3040,2,1,1
287000,3630,2,1,1
287000,6000,2,1,1
287000,5400,4,1,2
285250,5200,4,1,3
283500,3300,3,1,2
283500,4350,3,1,2
283500,2640,2,1,1
280000,2650,3,1,2
280000,3960,3,1,1
273000,6800,2,1,1
273000,4000,3,1,2
269500,4000,2,1,1
266000,3934,2,1,1
266000,2000,2,1,2
266000,3630,3,3,2
266000,2800,3,1,1
266000,2430,3,1,1
266000,3480,2,1,1
266000,4000,3,1,1
265300,3185,2,1,1
265300,4000,3,1,2
260400,2910,2,1,1
259000,3600,2,1,1
259000,4400,2,1,1
259000,3600,2,2,2
252000,2880,3,1,1
252000,3180,3,1,1
252000,3000,2,1,2
248500,4400,3,1,2
248500,3000,3,1,2
245000,3210,3,1,2
245000,3240,2,1,1
245000,3000,2,1,1
245000,3500,2,1,1
245000,4840,2,1,2
245000,7700,2,1,1
240800,3635,2,1,1
238000,2475,3,1,2
238000,2787,4,2,2
238000,3264,2,1,1
234500,3640,2,1,1
231000,3180,2,1,1
227500,1836,2,1,1
227500,3970,1,1,1
227500,3970,3,1,2
224000,1950,3,1,1
223300,5300,3,1,1
213500,3000,2,1,1
210000,2400,3,1,2
210000,3000,4,1,2
210000,3360,2,1,1
196000,3420,5,1,2
189000,1700,3,1,2
189000,3649,2,1,1
185500,2990,2,1,1
182000,3000,2,1,1
176715,2400,3,1,1
175000,3620,2,1,1
175000,2910,3,1,1
175000,3850,3,1,2
