MonthYear,TotalSales,AverageTemperature,TotalPrecip,LocalUE,Recession,Confidence,TERMCBAUTO48NS,UsedCPI,SandP500,DisposibleIncome,GasPrice,FederalFunds,Covid,GAUsers,GAPageviews,Leads,BOBBDC,NewInventory,UsedInventory,TotalInventory,q2,q3,q4,VDPs,SRPs,HandDPV,AppPV,NonSRPorVDP_PV,FormSuccess,SRPandVDP,demand_index,,,,,,,,,,
19-Nov,157,39,204,2.8,0,96.8,5.45,139.348,3104.904492,15778.2,2.59775,1.55,0,11611,74243,3887,1,35,143,178,0,0,1,27952,24679,383,616,17574,250,52631,658,,,,,,,,,,
19-Dec,168,37,147,2.9,0,99.3,5.396666667,139.413,3176.749512,15684.8,2.555,1.55,0,12114,74079,2636,1,56,109,165,0,0,1,28916,24957,485,678,17748,314,53873,731,,,,,,,,,,
20-Jan,163,35,274,3.5,0,99.8,5.343333333,138.428,3278.202858,15852.5,2.54775,1.55,1,14218,79248,2365,1,13,187,200,0,0,0,27174,29230,407,934,20379,260,56404,733,,,,,,,,,,
20-Feb,184,35,161,3.1,0,101,5.29,138.437,3277.314183,15918,2.442,1.58,1,18024,96149,3058,1,22,124,146,0,0,0,30586,33078,495,1465,25338,304,63664,760,,,,,,,,,,
20-Mar,124,48,206,3.8,1,89.1,5.236666667,139.15,2652.393632,15696.3,2.2342,0.65,1,18059,92192,2100,1,44,154,198,0,0,0,31609,32046,370,1595,23158,319,63655,779,,,,,,,,,,
20-Apr,120,53,232,11.7,1,71.8,5.183333333,137.901,2761.975226,18020.2,1.8405,0.05,1,16604,91671,2041,1,14,78,92,1,0,0,33376,31369,434,1003,23146,456,64745,563,,,,,,,,,,
20-May,157,63,244,11.4,0,72.3,5.13,138.528,2919.608484,17104.6,1.8695,0.05,1,23111,115115,2266,1,8,184,192,1,0,0,40599,40045,613,849,26525,448,80644,921,,,,,,,,,,
20-Jun,216,76,216,10.3,0,78.1,5.08,135.32,3104.660933,17035,2.0822,0.08,1,20854,115174,2700,1,40,164,204,1,0,0,41028,35520,575,892,30213,422,76548,767,,,,,,,,,,
20-Jul,199,79,306,9.2,0,72.5,5.03,138.039,3207.619096,17193.2,2.18325,0.09,1,24268,119097,2818,1,60,163,223,0,1,0,41600,36819,568,914,31906,526,78419,730,,,,,,,,,,
20-Aug,187,74,160,7.2,0,74.1,4.98,146.245,3391.710019,16525.8,2.1824,0.1,1,24450,113659,2728,1,57,154,211,0,1,0,40981,41964,587,914,28453,488,82945,864,,,,,,,,,,
20-Sep,155,67,105,6.2,0,80.4,4.97,154.42,3365.516671,16607.9,2.18275,0.09,1,28624,129971,2484,1,44,160,204,0,1,0,41543,49585,710,832,30845,549,91128,678,,,,,,,,,,
20-Oct,171,54,135,5.1,0,81.8,4.96,156.354,3418.699996,16561.9,2.158,0.09,1,26835,114519,2353,1,31,87,118,0,0,1,32559,43488,651,823,30960,350,76047,639,,,,,,,,,,
20-Nov,134,49,204,5,0,76.9,4.95,154.86,3548.99248,16368.1,2.1082,0.09,1,25473,101107,2110,1,28,146,174,0,0,1,22084,44762,453,745,27615,289,66846,693,,,,,,,,,,
20-Dec,118,36,60,5.4,0,80.7,5.036666667,153.842,3695.310014,16406.1,2.19525,0.09,1,28448,130187,2250,1,48,79,127,0,0,1,42973,50281,451,692,26988,327,93254,663,,,,,,,,,,
21-Jan,169,33,146,5.7,0,79,5.123333333,152.62,3793.748432,18107.3,2.33425,0.09,1,29705,134911,2213,1,9,125,134,0,0,0,46120,52384,509,624,26315,300,98504,839,,,,,,,,,,
21-Feb,147,26,92,5.4,0,76.8,5.21,151.331,3883.432116,16604.9,2.501,0.08,1,27969,127749,2103,1,28,115,143,0,0,0,45784,49691,554,579,28241,295,95475,818,,,,,,,,,,
21-Mar,202,49,252,5.2,0,84.9,5.233333333,152.215,3910.50828,20422.6,2.8104,0.07,1,24502,189709,3040,1,17,186,203,0,0,0,57648,73164,1095,1429,47428,436,130812,839,,,,,,,,,,
21-Apr,139,55,172,4.6,0,88.3,5.256666667,166.799,4141.1762,17316.6,2.85825,0.07,1,17954,87164,2342,1,35,147,182,1,0,0,28977,32118,459,476,22437,271,61095,756,,,,,,,,,,
21-May,191,63,173,4.6,0,82.9,5.28,179.671,4167.849536,16819.1,2.9852,0.06,1,17463,89262,2491,1,28,181,209,1,0,0,30829,33664,454,462,20817,269,64493,877,,,,,,,,,,
21-Jun,191,76,252,5,0,85.5,5.233333333,196.086,4238.489546,16736.3,3.06375,0.08,1,17697,87813,2780,1,21,154,175,1,0,0,28322,34470,474,519,23457,270,62792,702,,,,,,,,,,
21-Jul,154,77,351,4.8,0,81.2,5.186666667,195.215,4363.712798,16836.1,3.136,0.1,1,21076,79990,2312,1,30,121,151,0,1,0,26479,34844,480,520,23012,217,61323,678,,,,,,,,,,
21-Aug,125,78,114,4.6,0,70.3,5.14,192.669,4453.965931,16791.7,3.1578,0.09,1,15639,61556,2122,1,18,129,147,0,1,0,23977,27541,376,412,17085,224,51518,795,,,,,,,,,,
21-Sep,122,72,205,3.5,0,72.8,4.953333333,191.694,4445.543318,16564.3,3.175,0.08,1,16615,62585,2226,1,15,140,155,0,1,0,28408,27213,477,363,13974,225,55621,612,,,,,,,,,,
21-Oct,107,61,232,3.3,0,71.7,4.766666667,197.651,4460.707078,16547.4,3.2905,0.08,1,18533,66970,2023,1,20,89,109,0,0,1,27379,30233,343,324,13676,188,57612,800,,,,,,,,,,
21-Nov,109,44,30,3,0,67.4,4.58,204.01,4667.386649,16499.8,3.3948,0.08,1,17095,71256,2112,1,20,124,144,0,0,1,27361,30143,414,339,14077,218,57504,563,,,,,,,,,,
21-Dec,107,44,153,3,0,70.6,4.676666667,211.882,4674.772772,16418.5,3.3065,0.08,1,17557,74723,1846,1,16,101,117,0,0,1,26769,32326,380,395,14521,241,59095,594,,,,,,,,,,
22-Jan,98,27,54,3.7,0,67.2,4.773333333,214.914,4573.815454,16080.8,3.3146,0.08,1,19562,74582,2180,1,18,152,170,0,0,0,31194,30712,312,537,19414,275,61906,771,,,,,,,,,,
22-Feb,99,32,177,3.2,0,62.8,4.87,213.702,4435.980494,16092.7,3.51725,0.08,1,19024,72606,1786,1,11,84,95,0,0,0,27498,31114,222,543,19888,257,58612,717,,,,,,,,,,
22-Mar,111,47,244,3.1,0,59.4,4.963333333,206.036,4391.265264,16028.1,4.22175,0.2,1,16551,66988,1978,1,20,110,130,0,0,0,26841,28600,193,596,19661,222,55441,668,,,,,,,,,,
22-Apr,126,54,177,2.4,0,65.2,5.056666667,204.632,4391.295996,16042.6,4.1085,0.33,1,19129,70905,2203,1,12,88,100,1,0,0,25449,30736,119,689,18029,235,56185,637,,,,,,,,,,
22-May,145,67,282,2.6,0,58.4,5.15,208.447,4040.360003,16023.2,4.4436,0.77,1,20380,78055,2226,0,23,140,163,1,0,0,29441,32172,104,667,18695,259,61613,719,,,,,,,,,,
22-Jun,136,77,87,2.6,0,50,5.273333333,209.54,3898.946684,15963.4,4.929,1.21,1,20521,77289,2146,0,21,154,175,1,0,0,32365,32386,89,643,16943,251,64751,587,,,,,,,,,,
22-Jul,129,79,384,2.9,0,51.5,5.396666667,207.815,3911.729492,16109.3,4.55925,1.68,1,22456,88707,2121,0,27,120,147,0,1,0,36250,34542,73,592,16698,273,70792,798,,,,,,,,,,
22-Aug,142,76,159,3,0,58.2,5.52,207.436,4158.563084,16161.4,3.975,2.33,1,19995,82393,2214,0,36,123,159,0,1,0,34530,29312,89,640,16896,210,63842,601,,,,,,,,,,
22-Sep,143,68,121,2.3,0,58.6,5.993333333,205.156,3850.520496,16184.9,3.70025,2.56,1,19726,83112,2313,0,24,115,139,0,1,0,37501,32860,115,640,15848,264,70361,528,,,,,,,,,,
22-Oct,135,55,125,2.5,0,59.9,6.466666667,201.645,3726.050956,16223.5,3.8152,3.08,1,21918,87251,2323,0,37,103,140,0,0,1,34469,35720,119,680,16788,178,70189,644,,,,,,,,,,
22-Nov,104,45,99,2.5,0,56.7,6.94,197.633,3917.488595,16229.6,3.685,3.78,1,20690,81902,2442,0,34,97,131,0,0,1,34686,32176,90,579,16465,143,66862,483,,,,,,,,,,
22-Dec,121,35,107,2.4,0,59.8,7.113333333,193.691,3912.380952,16265.1,3.21,4.1,1,21678,90730,2294,0,34,90,124,0,0,1,41350,33884,100,582,16290,150,75234,507,,,,,,,,,,
23-Jan,135,38,175,3,0,64.9,7.286666667,189.941,3960.656531,16601.9,3.3392,4.33,1,22947,94384,2325,0,20,120,140,0,0,0,42900,32561,64,558,16637,154,75461,778,,,,,,,,,,
23-Feb,124,41,91,2.8,0,66.9,7.46,184.678,4079.684725,16656.1,3.38875,4.57,1,23251,104305,2355,0,24,130,154,0,0,0,43999,35608,106,624,17713,168,79607,625,,,,,,,,,,
23-Mar,136,44,236,2.8,0,62,7.503333333,183.06,3968.559146,16730.2,3.422,4.65,1,24344,103604,2692,0,28,142,170,0,0,0,41530,39197,96,541,18256,112,80727,584,,,,,,,,,,
23-Apr,139,57,87,2.7,0,63.7,7.546666667,191.199,4121.467362,16770.5,3.603,4.83,1,22509,90373,2303,0,28,152,180,1,0,0,35649,35083,81,499,16108,120,70732,665,,,,,,,,,,
23-May,147,67,176,3,0,59,7.59,199.646,4146.173196,16829.7,3.5548,5.06,1,21889,92238,2504,0,27,159,186,1,0,0,36850,34903,100,550,16311,96,71753,552,,,,,,,,,,
23-Jun,140,74,134,3.5,0,64.2,7.826666667,198.746,4345.372838,16823.2,3.571,5.08,1,24216,95331,2470,0,29,104,133,1,0,0,38574,35797,137,512,17646,124,74371,603,,,,,,,,,,
23-Jul,142,78,196,3.6,0,71.5,8.063333333,196.086,4508.075488,16783.7,3.597,5.12,1,25648,108029,4957,0,39,133,172,0,1,0,42614,41923,133,654,18922,138,84537,762,,,,,,,,,,
23-Aug,149,76,298,3.7,0,69.4,8.3,193.671,4452.224726,16764.6,3.83975,5.33,1,25631,108947,2682,0,53,128,181,0,1,0,44706,41103,114,654,19429,149,85809,522,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VDPs,0.0004,2500,1,0.001,0.647,0.522,-0.001,0.002
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FormSuccess,0.1621,6.169031462,405.25,0.052,3.091,0.004,0.056,0.268
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HandDPV,0.0137,72.99270073,34.25,0.027,0.517,0.608,-0.04,0.067
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,SRPs,-0.0005,0.001,-0.898,0.374,-0.002,0.001,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,VDPs,0.0008,0.001,1.016,0.316,-0.001,0.002,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,FormSuccess,0.1608,0.054,2.999,0.005,0.052,0.269,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,HandDPV,0.0266,0.03,0.885,0.381,-0.034,0.087,,,,,,,,,,,,
