Date,Person_ID,Age,Gender,Sleep Start Time,Sleep End Time,Total Sleep Hours,Sleep Quality,Exercise (mins/day),Caffeine Intake (mg),Screen Time Before Bed (mins),Work Hours (hrs/day),Productivity Score,Mood Score,Stress Level
4/9/24,3849,48,Female,21.3,4.32,7.02,1,68,3,15,4.564549979,7,2,1
6/8/24,1851,41,Female,22.98,4.13,5.14,3,42,100,11,7.088821102,1,8,10
2/12/24,8723,46,Male,23.5,5.89,6.39,3,34,214,80,9.245781083,10,10,10
4/24/24,9808,24,Female,20.82,4.46,7.64,8,35,216,20,11.74064441,4,10,5
7/10/24,3786,52,Female,20.63,4.04,7.4,7,61,223,36,5.908774878,7,7,9
12/20/24,5968,47,Male,20.32,4.95,8.63,6,12,186,18,7.11361343,9,3,9
10/10/24,1717,48,Other,21.77,2.68,4.92,5,11,24,179,9.380147649,4,5,7
5/23/24,2062,59,Female,22.22,5.46,7.25,5,34,214,74,4.936536131,9,10,10
9/9/24,2542,30,Female,20.82,5.78,8.96,2,4,28,164,5.865824579,8,1,6
5/24/24,9702,24,Male,20.05,2.3,6.25,3,60,181,166,7.393776074,10,3,7
5/5/24,5268,30,Female,23.95,8.15,8.2,8,60,0,130,8.666950121,9,1,9
11/7/24,1928,55,Male,21.95,2.51,4.56,5,79,212,163,8.430834275,4,9,2
2/16/24,2256,31,Other,22,5.64,7.64,6,2,143,11,11.66961926,8,6,8
6/4/24,5468,25,Female,23.58,6.4,6.82,10,59,177,27,4.621877096,9,4,6
5/24/24,6320,50,Male,23.2,7.12,7.92,3,5,81,114,9.805756067,9,2,10
11/7/24,9989,22,Other,23.53,7.92,8.39,2,48,266,84,9.9966264,9,6,1
4/7/24,8266,18,Male,23.9,8.72,8.82,1,68,132,101,11.30532602,7,5,5
6/13/24,5809,27,Other,20.33,3.09,6.75,1,50,172,3,5.829142444,1,8,2
12/13/24,8239,56,Female,21.55,4.43,6.88,3,49,267,53,11.74379012,9,1,7
7/25/24,2252,38,Female,21.17,2.73,5.56,6,63,251,37,8.864702796,2,3,2
11/3/24,5261,50,Other,23.48,7.09,7.61,3,80,132,28,5.176587847,8,1,10
9/29/24,4579,37,Male,21.08,4.05,6.96,3,22,182,79,5.215221548,6,8,4
12/25/24,9472,20,Other,22.47,7.83,9.37,10,50,276,4,6.760661023,10,6,5
11/21/24,7376,29,Female,21.55,2.69,5.14,10,44,72,25,10.39528319,9,6,8
12/15/24,3878,34,Female,23,3.92,4.92,3,51,206,46,6.963776822,6,10,7
3/18/24,1364,43,Female,22.92,4.08,5.17,3,22,237,106,8.256907882,2,10,6
8/14/24,2906,32,Male,22.6,4.01,5.41,7,56,272,85,6.619978817,9,1,4
1/25/24,8561,20,Male,20.28,1.22,4.93,6,33,110,7,8.692283477,3,10,9
4/10/24,3739,43,Female,22.92,5.91,6.99,6,32,149,20,5.222873113,7,4,8
11/6/24,9434,48,Male,23.38,4.44,5.06,2,83,219,74,10.92405701,6,6,1
4/3/24,3551,55,Other,21.93,6.03,8.09,8,25,172,43,5.640620481,10,6,4
10/1/24,9915,50,Male,23.77,7.8,8.04,6,36,138,99,6.565137537,3,1,6
6/26/24,1009,22,Other,21.72,3.23,5.51,8,1,83,64,5.110598188,9,1,9
2/7/24,4490,47,Other,20.07,4.72,8.65,2,77,136,161,5.449864529,3,1,8
11/15/24,6951,46,Other,20.6,2.11,5.51,3,84,164,4,5.885533969,10,4,9
8/24/24,2065,42,Female,23.12,5.81,6.7,3,37,22,62,8.021763121,9,1,1
11/4/24,4687,57,Other,22.83,5.49,6.66,3,6,178,41,5.114176581,1,4,7
6/5/24,2120,54,Other,22.53,3.2,4.67,6,65,9,4,11.01412509,1,6,6
6/7/24,7371,41,Other,20.12,1.37,5.25,4,75,172,129,4.097624579,3,3,4
10/18/24,1793,44,Male,23.17,8.46,9.3,8,37,133,22,7.696046429,10,8,2
4/20/24,1827,29,Male,23.6,7.64,8.04,10,30,50,28,4.833975728,9,6,7
9/13/24,6732,38,Female,21.58,2.71,5.12,9,0,54,114,8.730203486,5,9,5
5/16/24,9393,43,Male,22.85,6.04,7.19,6,1,209,161,11.3476378,3,6,8
1/25/24,2990,23,Male,23.53,5.85,6.31,6,25,155,113,9.308298976,7,1,4
12/26/24,1688,37,Female,21.45,4.63,7.18,8,48,256,140,7.178544924,3,8,3
11/13/24,3079,47,Male,20.73,3.12,6.39,8,18,17,0,10.20422093,2,2,6
4/22/24,6797,21,Male,23.47,4.34,4.88,3,31,265,109,8.212627733,1,7,7
10/14/24,4462,46,Male,20.9,2.67,5.77,7,58,254,71,4.832868656,5,3,3
4/6/24,4675,25,Female,22.52,7.96,9.44,8,45,164,141,6.345181842,2,7,10
9/19/24,3198,38,Other,23.3,6.72,7.42,2,1,196,147,6.686926857,2,3,7
4/28/24,5491,37,Male,20.62,4.99,8.37,9,52,279,80,10.94774381,8,7,1
4/24/24,3573,26,Female,20.4,2.19,5.79,6,21,234,3,5.058209689,2,7,5
3/15/24,7981,35,Male,21.58,4.57,6.99,2,16,164,152,7.979719152,7,5,10
12/7/24,3074,48,Female,22.65,4.4,5.75,9,52,172,144,7.350164199,10,2,6
12/28/24,3866,53,Other,21.47,3.91,6.45,8,10,163,112,9.772262889,8,3,6
4/7/24,5150,41,Female,21.07,3.99,6.92,10,35,238,147,5.296111023,4,1,2
7/19/24,1153,19,Male,20.13,2.39,6.26,1,88,60,170,8.786288466,9,7,3
5/10/24,2252,47,Female,21.18,3.49,6.3,1,60,16,73,9.52448186,1,8,3
9/20/24,3708,34,Other,20.88,4.57,7.69,8,24,88,11,5.769675535,10,9,10
2/16/24,5873,33,Other,20.37,3.65,7.28,6,6,269,78,9.579362138,9,3,8
11/10/24,2500,35,Other,21.85,6.57,8.72,2,58,102,16,9.201338804,8,3,2
5/10/24,3983,43,Other,22.72,6.08,7.36,8,3,209,160,11.08782199,10,2,7
8/14/24,4241,51,Female,22.9,4.33,5.43,2,31,95,122,11.98347288,4,1,5
8/23/24,1271,27,Female,20.63,3.75,7.11,1,48,2,172,6.836977261,2,4,2
10/19/24,8832,18,Male,21.23,3.87,6.64,1,87,139,36,10.29076012,6,7,8
11/14/24,9202,30,Female,20.1,5.56,9.46,8,19,62,53,8.861894359,10,2,9
8/5/24,1936,20,Female,20.07,3.72,7.65,7,48,8,98,8.778192579,1,10,3
6/26/24,8312,41,Other,23.57,5.19,5.62,8,88,67,141,10.88101453,9,8,3
5/2/24,2218,42,Female,23.68,8.23,8.55,8,24,260,138,4.695894079,8,6,8
9/7/24,4972,43,Female,21.6,3.2,5.6,5,76,80,113,7.961172216,3,10,3
2/25/24,7183,44,Male,20.53,5.43,8.89,3,79,167,91,10.80465383,9,9,5
6/18/24,5286,44,Female,23.1,8.01,8.91,10,30,22,169,5.03095894,5,7,2
12/21/24,9780,46,Other,21.52,2.44,4.92,1,16,222,97,9.072045625,8,3,6
3/14/24,6352,49,Female,22.45,6.11,7.66,5,21,195,147,9.503085778,2,4,1
1/12/24,9073,18,Female,21.92,2.65,4.73,2,13,191,174,11.75102284,4,3,4
1/7/24,9220,28,Male,21.77,4.71,6.94,3,74,57,25,5.271506266,2,4,1
4/8/24,7540,58,Other,22.9,7.53,8.63,4,31,129,174,9.443994417,6,3,1
8/23/24,1988,38,Other,23.6,7.29,7.69,6,18,256,57,11.15279363,2,3,1
10/7/24,1791,29,Female,22.72,5.58,6.87,8,59,144,92,10.21277482,2,4,7
12/14/24,1959,41,Female,22.32,6.8,8.48,9,77,272,125,9.484522298,4,9,6
11/14/24,6109,19,Other,23.2,4.45,5.25,5,17,94,165,6.33330063,9,1,6
9/23/24,1213,41,Male,20.18,5.62,9.43,6,85,91,147,6.768132541,8,2,1
1/2/24,7368,50,Male,20.48,1.15,4.67,4,25,102,165,8.540326786,10,2,2
4/15/24,9619,57,Other,20.03,5.01,8.98,9,5,72,102,8.903553399,9,2,8
11/23/24,4389,37,Female,22.97,5.89,6.92,4,79,21,153,7.847230652,9,10,2
1/12/24,2560,36,Other,21.58,5.8,8.22,7,52,182,31,7.985565732,2,6,2
7/29/24,1661,54,Male,22.03,2.94,4.91,3,34,92,96,10.72361925,1,5,10
1/24/24,9595,54,Female,23.98,4.68,4.7,1,50,95,104,7.508923354,5,2,4
3/6/24,2394,29,Other,20.28,3.94,7.66,1,25,7,99,11.27226017,7,10,2
10/19/24,5648,31,Other,20.32,3.78,7.46,6,16,27,65,10.86389003,5,1,8
6/12/24,8062,48,Other,21.03,3.74,6.71,10,9,256,132,5.989714181,1,9,6
10/10/24,4192,54,Other,20.18,3.06,6.87,1,43,155,110,10.94617024,4,2,2
10/19/24,1281,46,Male,22.57,5.33,6.76,5,58,160,178,4.332582872,10,4,5
8/29/24,2239,51,Male,21.47,6.31,8.84,8,42,177,150,9.33491406,4,7,4
12/1/24,2969,59,Other,23.82,5.26,5.44,7,7,156,95,5.876490347,6,2,1
11/6/24,6238,43,Other,21.48,4.47,6.99,1,25,135,46,8.564877973,8,9,4
10/15/24,4072,36,Other,23.22,5.69,6.47,5,89,219,62,11.81739347,9,9,9
9/1/24,4230,58,Other,23.55,6.07,6.52,4,18,81,140,10.38250919,3,1,8
11/5/24,1454,42,Male,22,4.33,6.33,7,14,92,160,5.900353047,1,3,6
9/23/24,8010,25,Female,21.15,5.45,8.3,9,2,84,25,11.61182848,2,6,5
8/8/24,2177,42,Male,21.78,5.18,7.4,4,14,42,175,8.395313907,2,5,7
4/16/24,5431,32,Male,23.17,5.57,6.4,4,20,140,18,4.811366628,4,5,4
1/27/24,7894,45,Other,23.25,4.2,4.95,2,1,76,131,10.58539212,7,10,7
6/7/24,4654,59,Male,21.92,7.23,9.31,4,6,171,119,8.211993553,7,6,6
10/3/24,7869,45,Male,21.13,4.87,7.73,8,41,71,151,6.827371034,10,5,4
2/19/24,7807,36,Other,21.4,2.38,4.98,4,73,241,68,5.344113662,3,2,1
4/28/24,9853,54,Other,22.45,3.98,5.53,10,72,77,76,8.755810681,9,2,3
9/19/24,7780,56,Male,20.17,5.62,9.46,3,67,217,101,8.627095336,7,4,8
8/16/24,8843,20,Male,23.53,5.17,5.63,9,67,268,48,10.65490491,5,5,8
8/17/24,2735,20,Female,23.95,6.12,6.17,6,1,214,171,9.294713519,1,3,2
10/12/24,5211,25,Female,23.95,9.24,9.29,9,54,207,105,4.773411597,9,7,1
5/15/24,8123,20,Female,20.37,2.86,6.5,8,4,247,107,5.949253729,5,4,6
8/18/24,5895,50,Male,23.18,7.59,8.41,2,13,291,150,6.104900559,2,9,5
9/14/24,3496,28,Other,23.37,8.58,9.21,2,54,261,162,10.29020765,6,5,4
1/12/24,1560,59,Female,21.73,4.14,6.4,8,29,133,66,10.32024349,4,9,5
6/11/24,7721,44,Female,22.28,7.57,9.29,2,9,24,24,7.834835521,1,4,1
4/19/24,5917,20,Other,20.08,1.32,5.23,5,7,24,78,11.70492089,4,2,6
6/8/24,2884,19,Other,22.5,3.31,4.81,3,33,265,88,4.465310364,2,8,9
3/23/24,6448,45,Female,21.83,3.22,5.39,1,3,259,102,5.831156839,5,7,4
8/8/24,1419,55,Other,21.6,6.53,8.93,3,6,154,91,7.853078772,7,5,6
5/12/24,5481,44,Male,21.62,3.42,5.8,10,86,64,12,4.096966197,2,5,5
12/3/24,5268,49,Male,22.8,6.04,7.24,5,51,255,116,7.905929096,4,2,4
4/21/24,1593,57,Other,20.47,2.94,6.47,6,41,20,41,11.13667751,9,1,8
5/8/24,1571,46,Male,21.82,2.51,4.69,8,20,283,33,7.090791279,6,8,1
3/19/24,9080,40,Male,22.07,6.25,8.19,1,86,100,7,4.333383205,9,7,1
4/18/24,9599,52,Male,20.32,4.5,8.19,10,30,227,138,11.76599966,3,7,3
1/28/24,9754,22,Male,21.88,6.21,8.32,10,37,110,111,11.74288028,8,8,9
11/24/24,4009,32,Female,22.8,4.58,5.78,4,77,104,168,11.67861214,7,2,10
5/28/24,4747,29,Other,23.02,6.53,7.51,5,31,287,31,9.251828859,10,1,8
7/1/24,6784,57,Other,21.98,4.43,6.44,2,21,212,171,5.579763919,1,8,5
5/1/24,6341,56,Male,23.67,6.89,7.22,5,12,148,125,10.73598842,8,7,7
8/23/24,9789,39,Other,20.35,3.55,7.2,2,1,28,179,10.54228264,3,7,8
2/13/24,9652,39,Other,20.53,3.58,7.04,6,18,22,156,4.750055365,9,5,8
12/27/24,8353,33,Male,23.07,7.97,8.91,4,63,9,148,9.864570368,7,2,9
4/21/24,6132,26,Female,21.42,6.12,8.7,1,77,13,120,11.66458784,9,4,3
8/10/24,6110,23,Other,20.95,3.29,6.34,4,19,23,153,7.132205585,5,6,8
12/24/24,6891,37,Male,22.1,5,6.9,3,87,228,79,5.803510044,4,4,8
9/10/24,1161,47,Female,22.5,3.11,4.61,3,48,210,149,9.563325187,10,6,5
12/21/24,9623,53,Female,22.8,5.47,6.67,2,62,115,112,8.785802353,9,6,1
7/16/24,2283,37,Other,22.23,4.78,6.55,7,8,89,143,5.623490941,4,10,2
9/15/24,6068,47,Female,21.73,5.72,7.99,3,18,34,45,5.804330639,5,5,4
2/18/24,9895,22,Female,21.05,1.8,4.75,7,34,128,23,9.836065829,6,9,6
6/22/24,8531,48,Male,23.33,4.18,4.84,10,29,219,134,5.975830393,8,10,6
4/15/24,8896,30,Female,23.13,6.07,6.94,8,83,249,106,5.113962969,4,2,1
1/7/24,1671,28,Other,23.1,5.57,6.47,10,13,164,57,11.83640672,5,3,7
8/5/24,9100,41,Male,22.83,8.19,9.36,9,60,160,177,9.760064317,10,9,7
3/26/24,4062,50,Male,23.55,6.07,6.52,9,38,85,176,8.348305739,6,6,2
3/5/24,2537,39,Male,21.15,3.96,6.81,3,38,85,75,4.498184847,8,6,10
4/8/24,2727,49,Other,20.32,3.54,7.22,4,85,142,119,5.010030262,6,4,9
6/16/24,3105,45,Female,20.02,0.84,4.83,3,71,43,96,7.125826925,3,6,7
10/5/24,7744,36,Male,22.17,3.69,5.52,10,7,296,163,6.211533525,8,7,9
2/16/24,9078,57,Female,21.98,5.96,7.98,2,6,258,26,6.215235899,8,6,1
8/7/24,4200,25,Male,23.98,8.59,8.6,5,3,245,18,11.05933095,7,1,7
1/21/24,1669,30,Female,23.45,8.36,8.91,7,26,24,130,8.219196977,9,4,2
6/2/24,7788,52,Male,23.47,5.45,5.98,6,49,133,59,6.514800905,2,9,5
8/3/24,1587,45,Female,21.78,5.84,8.06,8,89,189,160,5.918992902,4,2,9
11/2/24,6433,28,Male,22.78,6.17,7.39,1,68,107,138,10.74989861,3,1,4
9/28/24,7049,19,Other,23.92,4.76,4.85,7,69,200,147,5.817436456,8,7,7
5/7/24,7659,42,Other,21.23,2.8,5.56,3,56,116,45,10.07398986,4,1,7
12/20/24,2787,30,Other,21.83,6.87,9.04,7,58,90,97,7.57644435,6,4,5
11/23/24,6661,31,Other,23.8,4.51,4.71,8,13,153,101,6.240298636,9,3,3
10/1/24,8880,45,Male,22.22,6.35,8.13,7,18,119,165,4.961977812,4,8,1
10/12/24,1264,50,Male,21.17,2.04,4.87,9,58,221,40,4.385142688,4,8,2
12/26/24,8804,39,Male,23.9,7.06,7.16,1,47,157,11,8.662454681,2,5,5
11/20/24,8851,50,Male,20.13,5.18,9.05,4,34,215,64,4.201135666,7,8,6
3/16/24,7317,32,Male,22.42,3.74,5.32,6,20,37,19,10.31041811,3,4,7
12/13/24,1771,39,Male,22.35,4.16,5.81,8,33,256,71,9.072832251,6,6,9
7/28/24,7716,29,Female,21.43,2.63,5.2,10,64,92,108,7.856328465,8,3,4
11/7/24,6808,30,Male,21.8,2.34,4.54,8,42,89,38,10.42068544,1,10,6
8/20/24,2800,41,Male,20.67,5.26,8.59,5,50,58,166,8.598236434,7,3,1
6/16/24,9210,29,Male,20.73,4.27,7.54,1,44,89,102,11.63226502,5,8,9
12/12/24,9365,40,Female,20.77,1.56,4.8,4,81,145,67,7.070711064,4,2,5
5/26/24,2774,45,Male,20.18,1.08,4.9,9,38,257,28,9.429359653,2,3,10
7/28/24,5658,26,Male,22.45,3.81,5.36,6,26,116,1,8.239932183,3,8,2
3/21/24,5008,29,Other,22,2.92,4.92,10,84,61,48,5.72841092,9,7,8
10/20/24,2819,38,Female,22.28,4.8,6.52,7,72,121,29,7.571356131,2,3,3
6/4/24,4243,32,Male,22.37,4.46,6.09,10,56,117,99,7.143793803,8,7,2
6/4/24,1006,21,Male,23,5.23,6.23,4,18,156,145,9.09521854,1,1,6
3/4/24,7468,25,Female,23.85,7.25,7.4,6,64,30,131,5.338877865,2,5,8
12/9/24,1442,20,Other,20.05,1.05,5,6,63,233,50,4.186816771,5,10,5
5/1/24,3172,54,Female,23.6,6.47,6.87,6,67,273,112,4.70561363,4,1,6
3/8/24,4236,58,Male,20.55,1.89,5.34,5,86,41,97,6.074679179,3,10,1
12/6/24,1382,38,Other,22.05,4.29,6.24,8,12,110,97,7.911182654,3,1,3
9/8/24,9017,57,Female,20.38,3.99,7.6,5,84,7,27,10.82046226,5,4,6
5/26/24,7207,44,Male,21.17,3.43,6.27,6,20,245,138,8.394579835,5,1,8
1/20/24,2960,29,Female,20.83,3.65,6.81,4,69,182,101,8.179553163,8,7,9
8/29/24,4536,31,Other,21.45,6.09,8.64,4,6,162,47,11.9689836,8,4,1
12/2/24,4935,25,Other,22.62,4.4,5.78,5,12,188,30,9.872238101,2,6,6
6/19/24,4906,27,Female,23.33,5.63,6.29,2,40,151,34,5.685639711,9,3,3
9/20/24,3841,57,Other,21.1,1.82,4.72,4,24,36,0,4.552236327,8,8,5
7/6/24,8295,26,Other,20.58,4.58,8,8,22,264,33,4.621194677,4,6,3
3/12/24,8938,31,Male,20.52,1.38,4.86,3,15,65,167,4.903453141,2,10,6
7/6/24,7465,19,Female,20.92,2.89,5.98,2,38,214,119,7.240821556,6,7,5
10/21/24,3368,34,Male,21.87,2.54,4.67,3,52,274,56,10.07689143,1,7,7
2/1/24,6565,27,Female,23.12,6.39,7.27,4,31,13,177,9.71162106,4,5,8
11/30/24,7846,21,Male,22.37,6.47,8.1,7,30,289,81,10.59022472,9,1,9
8/28/24,8161,46,Female,21.52,4.98,7.47,1,86,87,49,7.735744,6,5,9
11/15/24,6276,45,Other,20,1.15,5.15,9,26,161,171,8.574473309,2,3,3
6/25/24,9389,29,Other,20.27,4.2,7.94,10,28,216,119,9.406781972,7,5,5
8/22/24,4607,28,Male,23.77,8.99,9.22,9,20,210,139,11.99572999,1,5,6
10/30/24,3587,58,Other,22.78,4.33,5.54,3,70,12,140,7.326380005,2,9,9
6/14/24,4893,39,Male,23.73,8,8.27,2,8,215,7,9.213118084,2,3,6
5/28/24,1539,57,Female,21,5.95,8.95,3,12,48,117,10.25612268,5,5,10
2/15/24,4748,55,Female,21.27,2.39,5.12,10,34,110,101,8.247501427,6,4,8
1/29/24,9931,43,Female,20.32,3.09,6.77,1,57,282,169,10.16126569,9,2,5
5/13/24,5063,49,Male,20.53,4.73,8.2,7,56,125,11,4.010829006,5,4,7
8/15/24,5402,26,Other,23.53,7.06,7.53,8,71,44,58,6.423325831,3,9,2
8/13/24,4276,32,Other,23.42,6.83,7.41,8,8,118,132,8.245898842,4,2,6
8/20/24,6690,43,Other,21.93,5.55,7.61,10,44,266,103,11.25136771,1,1,4
4/11/24,1215,48,Male,21.82,5.77,7.95,2,4,83,51,5.842007366,8,6,1
8/13/24,3783,38,Female,20.08,1.96,5.87,6,61,209,77,8.372617136,3,6,8
8/22/24,9811,50,Male,23.17,7.63,8.47,6,40,271,67,11.61143848,8,10,9
11/27/24,6258,54,Male,21.3,2.68,5.38,6,81,153,133,5.520861198,3,2,1
4/16/24,9436,33,Female,21.9,4.36,6.46,10,7,93,64,7.665877203,1,4,8
8/29/24,6973,46,Female,23.13,7.81,8.68,4,27,254,170,4.368453874,10,8,2
2/24/24,6722,39,Male,22.93,5.45,6.51,10,8,247,154,11.63877594,1,9,7
8/28/24,3451,47,Other,22.8,5.52,6.72,10,77,16,17,11.93953831,4,5,2
11/19/24,4008,18,Female,21.73,7.11,9.37,7,9,202,40,4.311439707,10,1,1
10/4/24,2772,58,Male,23.07,7.16,8.1,8,50,148,98,6.610707447,3,3,7
10/29/24,7297,57,Male,20.22,4.62,8.4,10,83,241,115,5.635687088,8,9,3
4/21/24,1614,45,Female,20.43,1.28,4.85,3,36,194,110,10.48702865,8,4,2
1/24/24,4075,20,Female,20.8,4,7.2,8,22,68,94,5.02293441,9,9,9
7/6/24,6445,54,Male,21.65,3.28,5.63,6,84,211,2,11.06187505,6,4,6
8/26/24,4240,22,Male,22.95,4.96,6.01,5,24,111,154,6.171508621,9,6,4
2/8/24,6141,38,Female,20.12,3.92,7.81,7,30,201,31,5.338570432,9,1,10
8/1/24,3832,21,Other,20.97,5.26,8.3,6,64,190,50,6.954246162,9,8,2
4/13/24,4854,49,Other,22.08,7.19,9.1,7,38,125,56,6.192572715,9,9,6
9/18/24,2363,20,Male,22.8,6.94,8.14,7,63,64,80,7.044141679,4,4,2
12/4/24,9234,52,Female,21.53,6.88,9.35,7,3,215,58,8.008703042,6,9,1
6/16/24,3240,22,Other,23.08,4.18,5.09,3,18,203,79,5.053720229,10,9,4
4/4/24,1451,40,Female,23.35,7.21,7.86,5,71,6,118,8.573967865,7,3,3
7/28/24,5595,33,Male,20.18,2.12,5.94,5,26,139,144,11.47995545,5,9,5
4/27/24,1887,50,Female,21.78,3.95,6.17,6,68,46,166,11.55558866,4,6,7
3/19/24,7358,36,Female,20.92,6.37,9.45,8,81,201,104,11.84294993,10,10,1
11/17/24,1517,22,Female,20.07,1.52,5.45,4,40,218,176,7.180899028,3,10,2
12/10/24,9399,19,Female,21.35,2.57,5.22,7,38,218,156,11.40417766,4,9,6
5/27/24,4554,19,Female,20.55,4.57,8.02,6,78,282,9,7.6054918,6,9,4
2/28/24,3555,19,Male,23,4.09,5.09,9,9,78,58,9.892281827,5,8,6
12/21/24,9801,47,Male,20.45,4.09,7.64,4,6,136,163,11.51721209,10,4,9
8/24/24,3093,59,Female,23.62,4.63,5.01,2,26,53,177,4.741003864,5,9,4
4/2/24,3426,26,Other,21.3,4.75,7.45,1,42,40,169,9.606941087,8,7,1
9/1/24,9342,49,Other,23.53,5.11,5.57,5,42,289,39,6.838886646,2,3,10
6/9/24,5426,33,Female,21.78,3.95,6.17,2,37,126,18,7.948007937,8,3,10
12/23/24,2014,44,Female,23.83,8.19,8.35,1,72,106,88,6.668854312,1,6,5
5/16/24,2873,38,Female,20.95,2.69,5.74,6,39,113,106,11.49024497,2,2,6
5/18/24,8352,30,Female,23.1,3.88,4.78,6,87,206,128,10.11552582,6,2,9
4/11/24,6103,46,Male,20.15,5.36,9.21,2,70,108,46,9.481074479,3,4,5
5/8/24,1195,29,Other,23.68,6.86,7.18,5,60,51,87,10.31434279,7,7,5
2/5/24,7121,59,Female,22.25,7.13,8.88,5,60,136,5,8.426969518,3,7,6
4/27/24,1086,34,Other,23.03,5.61,6.57,6,72,284,164,7.288748871,4,7,1
9/3/24,4687,38,Female,20.08,4.53,8.45,6,32,208,125,5.325985416,10,3,10
5/17/24,9306,53,Female,20.68,4.22,7.54,7,46,245,126,5.873626967,8,8,9
6/23/24,4360,50,Other,22.15,4.71,6.56,10,64,140,128,9.05135137,1,5,7
5/7/24,5951,43,Male,22.2,4.66,6.46,1,66,6,57,8.062440512,5,1,1
3/2/24,7314,42,Other,20.03,3.34,7.3,5,31,281,123,11.05250764,6,9,8
11/7/24,4904,46,Male,21.25,2.77,5.52,3,70,205,156,5.467537571,2,9,3
5/18/24,4764,47,Male,23.28,8.29,9.01,2,7,21,5,7.115239512,9,8,4
11/30/24,9923,35,Female,20.73,6.18,9.45,4,63,220,122,4.342700441,3,3,3
6/30/24,9397,57,Other,22.05,4.87,6.82,4,74,121,106,11.43430722,2,1,9
12/13/24,1670,51,Male,23.23,3.98,4.74,4,7,200,57,10.25567982,7,10,4
7/27/24,6330,46,Other,22.45,3.92,5.47,6,28,214,130,7.465304891,10,4,10
9/1/24,4645,59,Female,20.2,4.26,8.06,8,58,39,129,7.398806743,10,1,10
1/2/24,7539,43,Other,21.52,4.17,6.66,6,66,165,60,6.596094401,5,10,4
10/4/24,4046,32,Other,23.52,7.82,8.3,6,87,203,160,7.458769811,1,5,6
3/10/24,5500,49,Other,22.07,5.72,7.65,2,47,216,55,5.608521216,8,8,7
4/13/24,5172,55,Female,21.12,2.86,5.75,6,37,175,26,11.9911409,10,3,3
12/16/24,7396,30,Male,22.85,7.81,8.96,5,53,290,85,4.115051569,8,2,1
12/21/24,7047,32,Other,21.57,6.76,9.19,5,84,124,137,7.124748861,4,3,2
3/14/24,1572,42,Other,22.38,4.78,6.4,2,54,27,58,7.754281819,5,2,4
