Date,Value
9/1/09,175.8303224
10/1/09,174.5526439
11/1/09,182.8653916
12/1/09,188.1138661
1/1/10,195.5820639
2/1/10,199.5912251
3/1/10,210.3058427
4/1/10,208.4862979
5/1/10,213.5939682
6/1/10,215.6309113
7/1/10,206.7789273
8/1/10,205.1574045
9/1/10,205.3790487
10/1/10,205.4030487
11/1/10,207.2384191
12/1/10,216.7471259
1/1/11,222.1153926
2/1/11,232.8371849
3/1/11,236.3814056
4/1/11,245.3498688
5/1/11,242.0537475
6/1/11,242.045877
7/1/11,242.0670344
8/1/11,235.7482714
9/1/11,237.7946658
10/1/11,241.4242855
11/1/11,239.7647795
12/1/11,249.8592677
1/1/12,257.8797656
2/1/12,266.8136457
3/1/12,269.3463526
4/1/12,273.4490868
5/1/12,278.7441372
6/1/12,277.6039693
7/1/12,275.5009857
8/1/12,273.7028964
9/1/12,271.0196965
10/1/12,274.5545074
11/1/12,279.0858909
12/1/12,283.8212972
1/1/13,297.091549
2/1/13,302.4376658
3/1/13,305.917647
4/1/13,314.1231072
5/1/13,312.7108907
6/1/13,315.7841692
7/1/13,314.7571912
8/1/13,309.0486354
9/1/13,312.2264982
10/1/13,313.0755619
11/1/13,318.5438663
12/1/13,327.683586
1/1/14,331.7492238
2/1/14,339.1025277
3/1/14,345.8812252
4/1/14,350.7783794
5/1/14,354.3460506
6/1/14,354.9723039
7/1/14,353.3133816
8/1/14,352.9043665
9/1/14,351.1257497
10/1/14,356.1970682
11/1/14,357.6504323
12/1/14,370.8503383
1/1/15,375.2513347
2/1/15,380.8956849
3/1/15,387.758469
4/1/15,395.8549448
5/1/15,396.7733285
6/1/15,398.678001
7/1/15,396.9064752
8/1/15,394.5443422
9/1/15,393.0861585
10/1/15,394.1803056
11/1/15,401.4467161
12/1/15,411.5227976
1/1/16,419.0681875
2/1/16,424.9985224
3/1/16,435.3666159
4/1/16,441.0206348
5/1/16,441.0525392
6/1/16,443.3974502
7/1/16,442.1564174
8/1/16,438.7240594
9/1/16,442.0553207
10/1/16,445.1315691
11/1/16,451.5458484
12/1/16,459.1976041
1/1/17,463.4046613
2/1/17,473.3743499
3/1/17,484.0503246
4/1/17,489.5175719
5/1/17,492.3303494
6/1/17,499.515463
7/1/17,492.141781
8/1/17,492.4811313
9/1/17,492.6877495
10/1/17,494.9927825
11/1/17,498.6692075
12/1/17,508.7679384
1/1/18,515.0143496
2/1/18,525.4163628
3/1/18,532.9295269
4/1/18,539.7737483
5/1/18,547.2895712
6/1/18,539.6754696
7/1/18,544.2125204
8/1/18,539.0645683
9/1/18,542.1558822
10/1/18,548.4279012
11/1/18,552.228306
12/1/18,558.1345104
1/1/19,568.4093926
2/1/19,580.7691955
3/1/19,586.1995208
4/1/19,594.0429172
5/1/19,596.9913977
6/1/19,596.5867993
7/1/19,601.8478882
8/1/19,598.517838
9/1/19,594.2494608
10/1/19,602.0629086
11/1/19,606.456173
12/1/19,617.9148667
1/1/20,624.4149585
2/1/20,635.5805271
3/1/20,645.3102286
4/1/20,652.2215104
5/1/20,651.6196612
6/1/20,654.5809975
7/1/20,654.2101094
8/1/20,653.7833415
9/1/20,659.9106544
10/1/20,660.8199634
11/1/20,663.8179781
12/1/20,676.8457239
1/1/21,689.2843124
2/1/21,697.1549305
3/1/21,700.7815141
4/1/21,709.2815319
5/1/21,716.5540763
6/1/21,714.0746611
7/1/21,716.5276389
8/1/21,717.3592681
9/1/21,715.485885
10/1/21,721.0909493
11/1/21,721.2972113
12/1/21,734.6412247
1/1/22,746.4548637
2/1/22,754.7544336
3/1/22,769.4850766
4/1/22,770.0297172
5/1/22,776.0201651
6/1/22,778.8714812
7/1/22,781.8825466
8/1/22,776.5382757
9/1/22,783.5060735
10/1/22,785.3104661
11/1/22,790.1367287
12/1/22,802.1742069
1/1/23,812.1581194
2/1/23,821.0895662
3/1/23,831.6398582
4/1/23,837.6393728
5/1/23,842.8872887
6/1/23,845.9342613
7/1/23,848.4120336
8/1/23,843.414369
9/1/23,852.1658127
10/1/23,848.3458244
11/1/23,858.9961758
12/1/23,869.8666344
1/1/24,880.0019837
2/1/24,888.964601
3/1/24,899.2440095
4/1/24,905.8239981
5/1/24,910.1215245
6/1/24,915.1892042
7/1/24,915.074031
8/1/24,913.8641808
9/1/24,919.2989457
10/1/24,922.704599
11/1/24,931.0054702
12/1/24,940.2692577
